Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,2,0.01,0,2
3,1,2,3,0.02,1,2
100,1,91,100,0.5,9,91
200,1,174,200,1.0,26,174
2000,1,1796,2000,10.0,204,1796
10000,1,8987,10000,50.0,1013,8987
20000,1,17937,20000,100.0,2063,17937
40000,1,35819,40000,200.0,4181,35819
60000,1,53819,60000,300.0,6181,53819
80000,1,71760,80000,400.0,8240,71760
100000,1,89619,100000,500.0,10381,89619
2,2,1,2,0.01,1,1
3,2,3,3,0.02,0,3
100,2,90,100,0.5,10,90
200,2,185,200,1.0,15,185
2000,2,1790,2000,10.0,210,1790
10000,2,8968,10000,50.0,1032,8968
20000,2,17928,20000,100.0,2072,17928
40000,2,35856,40000,200.0,4144,35856
60000,2,53778,60000,300.0,6222,53778
80000,2,71548,80000,400.0,8452,71548
100000,2,89515,100000,500.0,10485,89515
2,3,1,2,0.01,1,1
3,3,2,3,0.02,1,2
100,3,90,100,0.5,10,90
200,3,177,200,1.0,23,177
2000,3,1785,2000,10.0,215,1785
10000,3,8935,10000,50.0,1065,8935
20000,3,17866,20000,100.0,2134,17866
40000,3,35902,40000,200.0,4098,35902
60000,3,53685,60000,300.0,6315,53685
80000,3,71516,80000,400.0,8484,71516
100000,3,89602,100000,500.0,10398,89602
2,4,2,2,0.01,0,2
3,4,3,3,0.02,0,3
100,4,92,100,0.5,8,92
200,4,174,200,1.0,26,174
2000,4,1772,2000,10.0,228,1772
10000,4,8942,10000,50.0,1058,8942
20000,4,17877,20000,100.0,2123,17877
40000,4,35628,40000,200.0,4372,35628
60000,4,53830,60000,300.0,6170,53830
80000,4,71603,80000,400.0,8397,71603
100000,4,89531,100000,500.0,10469,89531
2,5,2,2,0.01,0,2
3,5,3,3,0.02,0,3
100,5,85,100,0.5,15,85
200,5,182,200,1.0,18,182
2000,5,1769,2000,10.0,231,1769
10000,5,8967,10000,50.0,1033,8967
20000,5,17941,20000,100.0,2059,17941
40000,5,35831,40000,200.0,4169,35831
60000,5,53721,60000,300.0,6279,53721
80000,5,71611,80000,400.0,8389,71611
100000,5,89715,100000,500.0,10285,89715
2,6,1,2,0.01,1,1
3,6,3,3,0.02,0,3
100,6,90,100,0.5,10,90
200,6,185,200,1.0,15,185
2000,6,1788,2000,10.0,212,1788
10000,6,8960,10000,50.0,1040,8960
20000,6,17886,20000,100.0,2114,17886
40000,6,35826,40000,200.0,4174,35826
60000,6,53808,60000,300.0,6192,53808
80000,6,71575,80000,400.0,8425,71575
100000,6,89529,100000,500.0,10471,89529
2,7,2,2,0.01,0,2
3,7,3,3,0.02,0,3
100,7,89,100,0.5,11,89
200,7,175,200,1.0,25,175
2000,7,1807,2000,10.0,193,1807
10000,7,8967,10000,50.0,1033,8967
20000,7,17939,20000,100.0,2061,17939
40000,7,35768,40000,200.0,4232,35768
60000,7,53715,60000,300.0,6285,53715
80000,7,71492,80000,400.0,8508,71492
100000,7,89458,100000,500.0,10542,89458
2,8,2,2,0.01,0,2
3,8,3,3,0.02,0,3
100,8,89,100,0.5,11,89
200,8,178,200,1.0,22,178
2000,8,1769,2000,10.0,231,1769
10000,8,8939,10000,50.0,1061,8939
20000,8,17854,20000,100.0,2146,17854
40000,8,35832,40000,200.0,4168,35832
60000,8,53720,60000,300.0,6280,53720
80000,8,71668,80000,400.0,8332,71668
100000,8,89536,100000,500.0,10464,89536
2,9,2,2,0.01,0,2
3,9,3,3,0.02,0,3
100,9,88,100,0.5,12,88
200,9,172,200,1.0,28,172
2000,9,1793,2000,10.0,207,1793
10000,9,8963,10000,50.0,1037,8963
20000,9,17927,20000,100.0,2073,17927
40000,9,35795,40000,200.0,4205,35795
60000,9,53726,60000,300.0,6274,53726
80000,9,71666,80000,400.0,8334,71666
100000,9,89538,100000,500.0,10462,89538
2,10,2,2,0.01,0,2
3,10,3,3,0.02,0,3
100,10,90,100,0.5,10,90
200,10,174,200,1.0,26,174
2000,10,1782,2000,10.0,218,1782
10000,10,9028,10000,50.0,972,9028
20000,10,17862,20000,100.0,2138,17862
40000,10,35860,40000,200.0,4140,35860
60000,10,53747,60000,300.0,6253,53747
80000,10,71618,80000,400.0,8382,71618
100000,10,89537,100000,500.0,10463,89537
2,11,1,2,0.01,1,1
3,11,3,3,0.02,0,3
100,11,92,100,0.5,8,92
200,11,182,200,1.0,18,182
2000,11,1772,2000,10.0,228,1772
10000,11,9012,10000,50.0,988,9012
20000,11,17856,20000,100.0,2144,17856
40000,11,35860,40000,200.0,4140,35860
60000,11,53666,60000,300.0,6334,53666
80000,11,71599,80000,400.0,8401,71599
100000,11,89518,100000,500.0,10482,89518
2,12,2,2,0.01,0,2
3,12,3,3,0.02,0,3
100,12,92,100,0.5,8,92
200,12,184,200,1.0,16,184
2000,12,1815,2000,10.0,185,1815
10000,12,9000,10000,50.0,1000,9000
20000,12,17895,20000,100.0,2105,17895
40000,12,35726,40000,200.0,4274,35726
60000,12,53745,60000,300.0,6255,53745
80000,12,71695,80000,400.0,8305,71695
100000,12,89361,100000,500.0,10639,89361
2,13,1,2,0.01,1,1
3,13,3,3,0.02,0,3
100,13,87,100,0.5,13,87
200,13,174,200,1.0,26,174
2000,13,1787,2000,10.0,213,1787
10000,13,8925,10000,50.0,1075,8925
20000,13,17880,20000,100.0,2120,17880
40000,13,35797,40000,200.0,4203,35797
60000,13,53690,60000,300.0,6310,53690
80000,13,71539,80000,400.0,8461,71539
100000,13,89362,100000,500.0,10638,89362
2,14,1,2,0.01,1,1
3,14,3,3,0.02,0,3
100,14,89,100,0.5,11,89
200,14,174,200,1.0,26,174
2000,14,1798,2000,10.0,202,1798
10000,14,8943,10000,50.0,1057,8943
20000,14,17939,20000,100.0,2061,17939
40000,14,35905,40000,200.0,4095,35905
60000,14,53623,60000,300.0,6377,53623
80000,14,71436,80000,400.0,8564,71436
100000,14,89478,100000,500.0,10522,89478
2,15,1,2,0.01,1,1
3,15,3,3,0.02,0,3
100,15,88,100,0.5,12,88
200,15,180,200,1.0,20,180
2000,15,1796,2000,10.0,204,1796
10000,15,8992,10000,50.0,1008,8992
20000,15,17920,20000,100.0,2080,17920
40000,15,35777,40000,200.0,4223,35777
60000,15,53680,60000,300.0,6320,53680
80000,15,71557,80000,400.0,8443,71557
100000,15,89657,100000,500.0,10343,89657
2,16,1,2,0.01,1,1
3,16,3,3,0.02,0,3
100,16,84,100,0.5,16,84
200,16,180,200,1.0,20,180
2000,16,1790,2000,10.0,210,1790
10000,16,8946,10000,50.0,1054,8946
20000,16,17834,20000,100.0,2166,17834
40000,16,35850,40000,200.0,4150,35850
60000,16,53651,60000,300.0,6349,53651
80000,16,71670,80000,400.0,8330,71670
100000,16,89396,100000,500.0,10604,89396
2,17,2,2,0.01,0,2
3,17,3,3,0.02,0,3
100,17,92,100,0.5,8,92
200,17,173,200,1.0,27,173
2000,17,1787,2000,10.0,213,1787
10000,17,8960,10000,50.0,1040,8960
20000,17,17903,20000,100.0,2097,17903
40000,17,35863,40000,200.0,4137,35863
60000,17,53722,60000,300.0,6278,53722
80000,17,71608,80000,400.0,8392,71608
100000,17,89520,100000,500.0,10480,89520
2,18,2,2,0.01,0,2
3,18,2,3,0.02,1,2
100,18,89,100,0.5,11,89
200,18,174,200,1.0,26,174
2000,18,1782,2000,10.0,218,1782
10000,18,8974,10000,50.0,1026,8974
20000,18,17895,20000,100.0,2105,17895
40000,18,35900,40000,200.0,4100,35900
60000,18,53788,60000,300.0,6212,53788
80000,18,71730,80000,400.0,8270,71730
100000,18,89485,100000,500.0,10515,89485
2,19,2,2,0.01,0,2
3,19,3,3,0.02,0,3
100,19,94,100,0.5,6,94
200,19,179,200,1.0,21,179
2000,19,1800,2000,10.0,200,1800
10000,19,8967,10000,50.0,1033,8967
20000,19,17812,20000,100.0,2188,17812
40000,19,35772,40000,200.0,4228,35772
60000,19,53753,60000,300.0,6247,53753
80000,19,71592,80000,400.0,8408,71592
100000,19,89535,100000,500.0,10465,89535
2,20,2,2,0.01,0,2
3,20,2,3,0.02,1,2
100,20,94,100,0.5,6,94
200,20,174,200,1.0,26,174
2000,20,1798,2000,10.0,202,1798
10000,20,8921,10000,50.0,1079,8921
20000,20,17857,20000,100.0,2143,17857
40000,20,35810,40000,200.0,4190,35810
60000,20,53688,60000,300.0,6312,53688
80000,20,71601,80000,400.0,8399,71601
100000,20,89533,100000,500.0,10467,89533
2,21,2,2,0.01,0,2
3,21,3,3,0.02,0,3
100,21,88,100,0.5,12,88
200,21,181,200,1.0,19,181
2000,21,1785,2000,10.0,215,1785
10000,21,9003,10000,50.0,997,9003
20000,21,17892,20000,100.0,2108,17892
40000,21,35812,40000,200.0,4188,35812
60000,21,53690,60000,300.0,6310,53690
80000,21,71658,80000,400.0,8342,71658
100000,21,89401,100000,500.0,10599,89401
2,22,1,2,0.01,1,1
3,22,3,3,0.02,0,3
100,22,90,100,0.5,10,90
200,22,177,200,1.0,23,177
2000,22,1786,2000,10.0,214,1786
10000,22,8981,10000,50.0,1019,8981
20000,22,17937,20000,100.0,2063,17937
40000,22,35705,40000,200.0,4295,35705
60000,22,53747,60000,300.0,6253,53747
80000,22,71673,80000,400.0,8327,71673
100000,22,89555,100000,500.0,10445,89555
2,23,2,2,0.01,0,2
3,23,3,3,0.02,0,3
100,23,84,100,0.5,16,84
200,23,180,200,1.0,20,180
2000,23,1799,2000,10.0,201,1799
10000,23,8957,10000,50.0,1043,8957
20000,23,17937,20000,100.0,2063,17937
40000,23,35756,40000,200.0,4244,35756
60000,23,53631,60000,300.0,6369,53631
80000,23,71621,80000,400.0,8379,71621
100000,23,89229,100000,500.0,10771,89229
2,24,2,2,0.01,0,2
3,24,3,3,0.02,0,3
100,24,96,100,0.5,4,96
200,24,184,200,1.0,16,184
2000,24,1781,2000,10.0,219,1781
10000,24,9005,10000,50.0,995,9005
20000,24,17871,20000,100.0,2129,17871
40000,24,35896,40000,200.0,4104,35896
60000,24,53811,60000,300.0,6189,53811
80000,24,71661,80000,400.0,8339,71661
100000,24,89362,100000,500.0,10638,89362
2,25,2,2,0.01,0,2
3,25,2,3,0.02,1,2
100,25,90,100,0.5,10,90
200,25,177,200,1.0,23,177
2000,25,1793,2000,10.0,207,1793
10000,25,8984,10000,50.0,1016,8984
20000,25,17871,20000,100.0,2129,17871
40000,25,35721,40000,200.0,4279,35721
60000,25,53686,60000,300.0,6314,53686
80000,25,71642,80000,400.0,8358,71642
