Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.69,2.0,0.010000000000000007,0.31,1.69
3,2.65,3.0,0.020000000000000014,0.35,2.65
100,89.74,100.0,0.5,10.26,89.74
200,178.93,200.0,1.0,21.07,178.93
2000,1789.63,2000.0,10.0,210.37,1789.63
10000,8954.3,10000.0,50.0,1045.7,8954.3
20000,17906.22,20000.0,100.0,2093.78,17906.22
40000,35798.49,40000.0,200.0,4201.51,35798.49
60000,53698.82,60000.0,300.0,6301.18,53698.82
80000,71582.17,80000.0,400.0,8417.83,71582.17
100000,89502.81,100000.0,500.0,10497.19,89502.81
