Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,0.96,0.0,0.0,1.04,0.96
3,1.37,0.0,0.0,1.63,1.37
100,49.93,49.06,0.2476000000000001,50.07,49.93
200,101.08,93.23,0.4696000000000001,98.92,101.08
2000,996.97,949.95,4.753099999999998,1003.03,996.97
10000,4976.9,3900.41,19.504799999999996,5023.1,4976.9
20000,9958.95,10399.87,51.99939999999999,10041.05,9958.95
40000,19919.54,21799.89,108.9991,20080.46,19919.54
60000,29825.41,30000.15,150.00070000000002,30174.59,29825.41
80000,39804.27,35600.37,178.00230000000008,40195.73,39804.27
100000,49733.5,56999.81,284.9985000000002,50266.5,49733.5
