Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
20000,86,9941,10366,51.83,10059,9941
40000,86,19985,7058,35.29,20015,19985
60000,86,29816,23318,116.59,30184,29816
80000,86,40269,69,0.35,39731,40269
100000,86,49836,41061,205.3,50164,49836
2,87,0,1,0.01,2,0
3,87,3,1,0.01,0,3
100,87,52,96,0.48,48,52
200,87,94,6,0.03,106,94
2000,87,1005,883,4.41,995,1005
10000,87,4971,7713,38.57,5029,4971
20000,87,10006,875,4.37,9994,10006
40000,87,19970,26772,133.86,20030,19970
60000,87,30081,11814,59.07,29919,30081
80000,87,39867,20133,100.66,40133,39867
100000,87,49563,50748,253.74,50437,49563
2,88,1,1,0.01,1,1
3,88,1,1,0.01,2,1
100,88,44,78,0.39,56,44
200,88,106,190,0.95,94,106
2000,88,986,576,2.88,1014,986
10000,88,4939,6367,31.83,5061,4939
20000,88,9973,4956,24.78,10027,9973
40000,88,19989,15320,76.6,20011,19989
60000,88,29742,8183,40.92,30258,29742
80000,88,39818,37031,185.15,40182,39818
100000,88,49565,46550,232.75,50435,49565
2,89,0,1,0.01,2,0
3,89,0,1,0.01,3,0
100,89,48,62,0.31,52,48
200,89,105,38,0.19,95,105
2000,89,1016,778,3.89,984,1016
10000,89,4995,6385,31.92,5005,4995
20000,89,9996,6558,32.79,10004,9996
40000,89,19914,8169,40.85,20086,19914
60000,89,29839,23162,115.81,30161,29839
80000,89,39743,14949,74.75,40257,39743
100000,89,49691,26699,133.49,50309,49691
2,90,0,1,0.01,2,0
3,90,1,1,0.01,2,1
100,90,52,20,0.1,48,52
200,90,97,50,0.25,103,97
2000,90,984,516,2.58,1016,984
10000,90,5028,1797,8.99,4972,5028
20000,90,9877,13953,69.77,10123,9877
40000,90,20065,12617,63.09,19935,20065
60000,90,29923,6972,34.86,30077,29923
80000,90,39864,19196,95.98,40136,39864
100000,90,49542,54426,272.13,50458,49542
2,91,0,1,0.01,2,0
3,91,2,1,0.01,1,2
100,91,53,65,0.33,47,53
200,91,102,85,0.43,98,102
2000,91,945,1610,8.05,1055,945
10000,91,4937,6649,33.24,5063,4937
20000,91,10065,8938,44.69,9935,10065
40000,91,19743,20941,104.7,20257,19743
60000,91,29901,20625,103.12,30099,29901
80000,91,39754,38485,192.42,40246,39754
100000,91,49906,6019,30.09,50094,49906
2,92,2,1,0.01,0,2
3,92,1,1,0.01,2,1
100,92,48,80,0.4,52,48
200,92,94,21,0.11,106,94
2000,92,962,1926,9.63,1038,962
10000,92,5000,3396,16.98,5000,5000
20000,92,9865,8910,44.55,10135,9865
40000,92,20024,13352,66.76,19976,20024
60000,92,30076,16734,83.67,29924,30076
80000,92,39641,23187,115.93,40359,39641
100000,92,49965,41367,206.83,50035,49965
2,93,0,1,0.01,2,0
3,93,2,1,0.01,1,2
100,93,49,4,0.02,51,49
200,93,105,125,0.63,95,105
2000,93,1019,775,3.87,981,1019
10000,93,5069,3317,16.59,4931,5069
20000,93,10030,5559,27.79,9970,10030
40000,93,19862,8194,40.97,20138,19862
60000,93,29801,39647,198.23,30199,29801
80000,93,39904,38434,192.17,40096,39904
100000,93,49799,49685,248.42,50201,49799
2,94,0,1,0.01,2,0
3,94,0,1,0.01,3,0
100,94,57,40,0.2,43,57
200,94,99,39,0.2,101,99
2000,94,1000,941,4.7,1000,1000
10000,94,4951,7467,37.34,5049,4951
20000,94,9975,8134,40.67,10025,9975
40000,94,19860,8439,42.2,20140,19860
60000,94,29772,30343,151.71,30228,29772
80000,94,39833,12496,62.48,40167,39833
100000,94,49886,9729,48.65,50114,49886
2,95,1,1,0.01,1,1
3,95,1,1,0.01,2,1
100,95,56,81,0.41,44,56
200,95,94,73,0.37,106,94
2000,95,964,640,3.2,1036,964
10000,95,4977,2506,12.53,5023,4977
20000,95,10004,12548,62.74,9996,10004
40000,95,19954,12137,60.69,20046,19954
60000,95,29878,37014,185.07,30122,29878
80000,95,39939,7906,39.53,40061,39939
100000,95,49963,16720,83.6,50037,49963
2,96,1,1,0.01,1,1
3,96,1,1,0.01,2,1
100,96,54,74,0.37,46,54
200,96,99,123,0.62,101,99
2000,96,960,960,4.8,1040,960
10000,96,4979,8651,43.26,5021,4979
