Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,0,0,0,2
3,1,1,0,0,2,1
100,1,44,0,0,56,44
200,1,92,0,0,108,92
2000,1,1002,0,0,998,1002
10000,1,5047,0,0,4953,5047
20000,1,10045,0,0,9955,10045
40000,1,20098,0,0,19902,20098
60000,1,29955,0,0,30045,29955
80000,1,39992,0,0,40008,39992
100000,1,50060,0,0,49940,50060
2,2,0,0,0,2,0
3,2,2,0,0,1,2
100,2,52,0,0,48,52
200,2,101,0,0,99,101
2000,2,993,0,0,1007,993
10000,2,4901,0,0,5099,4901
20000,2,10053,0,0,9947,10053
40000,2,20107,0,0,19893,20107
60000,2,29816,0,0,30184,29816
80000,2,39870,0,0,40130,39870
100000,2,49836,0,0,50164,49836
2,3,2,0,0,0,2
3,3,2,0,0,1,2
100,3,56,0,0,44,56
200,3,102,0,0,98,102
2000,3,973,0,0,1027,973
10000,3,4990,0,0,5010,4990
20000,3,10057,0,0,9943,10057
40000,3,19962,0,0,20038,19962
60000,3,29909,0,0,30091,29909
80000,3,40089,0,0,39911,40089
100000,3,50129,0,0,49871,50129
2,4,2,0,0,0,2
3,4,1,0,0,2,1
100,4,39,0,0,61,39
200,4,99,0,0,101,99
2000,4,1024,0,0,976,1024
10000,4,4974,0,0,5026,4974
20000,4,10007,0,0,9993,10007
40000,4,20086,0,0,19914,20086
60000,4,29972,0,0,30028,29972
80000,4,40074,0,0,39926,40074
100000,4,50005,0,0,49995,50005
2,5,0,0,0,2,0
3,5,2,0,0,1,2
100,5,49,0,0,51,49
200,5,104,0,0,96,104
2000,5,987,0,0,1013,987
10000,5,5032,0,0,4968,5032
20000,5,10011,0,0,9989,10011
40000,5,19984,0,0,20016,19984
60000,5,29866,0,0,30134,29866
80000,5,40281,0,0,39719,40281
100000,5,49874,0,0,50126,49874
2,6,1,0,0,1,1
3,6,1,0,0,2,1
100,6,50,0,0,50,50
200,6,102,0,0,98,102
2000,6,984,0,0,1016,984
10000,6,5077,0,0,4923,5077
20000,6,9932,0,0,10068,9932
40000,6,19875,0,0,20125,19875
60000,6,30134,0,0,29866,30134
80000,6,40258,0,0,39742,40258
100000,6,50069,0,0,49931,50069
2,7,1,0,0,1,1
3,7,2,0,0,1,2
100,7,47,0,0,53,47
200,7,98,0,0,102,98
2000,7,1019,0,0,981,1019
10000,7,5041,0,0,4959,5041
20000,7,9974,0,0,10026,9974
40000,7,20008,0,0,19992,20008
60000,7,29909,0,0,30091,29909
80000,7,40184,0,0,39816,40184
100000,7,50093,0,0,49907,50093
2,8,1,0,0,1,1
3,8,3,0,0,0,3
100,8,51,0,0,49,51
200,8,104,0,0,96,104
2000,8,987,0,0,1013,987
10000,8,4911,0,0,5089,4911
20000,8,9986,0,0,10014,9986
40000,8,19991,0,0,20009,19991
