Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1.6566666666666665,1.0,0.0999999999999998,0.3433333333333333,1.6566666666666665
3,2.546666666666667,1.1000000000000003,0.1099999999999998,0.4533333333333333,2.546666666666667
100,86.09333333333332,37.35,3.7349999999999994,13.906666666666666,86.09333333333332
200,173.4333333333333,64.17999999999999,6.418000000000002,26.566666666666666,173.4333333333333
2000,1775.5666666666666,229.84666666666666,22.98466666666667,224.4333333333333,1775.5666666666666
10000,8964.15,353.39333333333326,35.33933333333333,1035.85,8964.15
20000,17958.306666666667,403.32,40.33200000000001,2041.6933333333334,17958.306666666667
40000,35952.9,444.69,44.469,4047.1,35952.9
60000,53954.69,466.7366666666667,46.67366666666667,6045.31,53954.69
80000,71960.16333333333,482.92666666666673,48.29266666666667,8039.836666666667,71960.16333333333
100000,89957.34999999999,495.67333333333335,49.56733333333333,10042.65,89957.34999999999
