Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,1,1,0.1,1,1
3,1,3,1,0.1,0,3
100,1,85,17,1.7,15,85
200,1,170,72,7.2,30,170
2000,1,1800,30,3.0,200,1800
2,2,1,1,0.1,1,1
3,2,2,1,0.1,1,2
100,2,87,24,2.4,13,87
200,2,176,61,6.1,24,176
2000,2,1779,383,38.3,221,1779
2,3,2,1,0.1,0,2
3,3,3,1,0.1,0,3
100,3,88,21,2.1,12,88
200,3,178,9,0.9,22,178
2000,3,1758,171,17.1,242,1758
2,4,1,1,0.1,1,1
3,4,3,1,0.1,0,3
100,4,89,20,2.0,11,89
200,4,174,41,4.1,26,174
2000,4,1789,106,10.6,211,1789
2,5,1,1,0.1,1,1
3,5,2,2,0.2,1,2
100,5,86,22,2.2,14,86
200,5,179,58,5.8,21,179
2000,5,1771,91,9.1,229,1771
2,6,2,1,0.1,0,2
3,6,2,1,0.1,1,2
100,6,88,14,1.4,12,88
200,6,174,43,4.3,26,174
2000,6,1799,53,5.3,201,1799
2,7,1,1,0.1,1,1
3,7,2,1,0.1,1,2
100,7,87,3,0.3,13,87
200,7,166,98,9.8,34,166
2000,7,1798,9,0.9,202,1798
2,8,1,1,0.1,1,1
3,8,3,1,0.1,0,3
100,8,89,29,2.9,11,89
200,8,171,55,5.5,29,171
2000,8,1791,96,9.6,209,1791
2,9,2,1,0.1,0,2
3,9,2,1,0.1,1,2
100,9,92,8,0.8,8,92
200,9,166,115,11.5,34,166
2000,9,1790,40,4.0,210,1790
2,10,2,1,0.1,0,2
3,10,3,1,0.1,0,3
100,10,86,22,2.2,14,86
200,10,169,23,2.3,31,169
2000,10,1785,39,3.9,215,1785
2,11,2,1,0.1,0,2
3,11,2,1,0.1,1,2
100,11,89,2,0.2,11,89
200,11,178,6,0.6,22,178
2000,11,1802,66,6.6,198,1802
2,12,1,1,0.1,1,1
3,12,2,1,0.1,1,2
100,12,85,40,4.0,15,85
200,12,177,50,5.0,23,177
2000,12,1802,66,6.6,198,1802
2,13,2,1,0.1,0,2
3,13,3,1,0.1,0,3
100,13,91,14,1.4,9,91
200,13,174,68,6.8,26,174
2000,13,1802,29,2.9,198,1802
2,14,1,1,0.1,1,1
3,14,3,1,0.1,0,3
100,14,88,55,5.5,12,88
200,14,179,16,1.6,21,179
2000,14,1775,92,9.2,225,1775
2,15,2,1,0.1,0,2
3,15,2,1,0.1,1,2
100,15,85,35,3.5,15,85
200,15,179,24,2.4,21,179
2000,15,1800,60,6.0,200,1800
2,16,1,1,0.1,1,1
3,16,3,1,0.1,0,3
100,16,88,2,0.2,12,88
200,16,171,2,0.2,29,171
2000,16,1783,167,16.7,217,1783
2,17,2,1,0.1,0,2
3,17,3,1,0.1,0,3
100,17,82,45,4.5,18,82
200,17,177,41,4.1,23,177
2000,17,1787,109,10.9,213,1787
2,18,2,1,0.1,0,2
3,18,2,2,0.2,1,2
100,18,90,3,0.3,10,90
200,18,177,66,6.6,23,177
2000,18,1794,154,15.4,206,1794
2,19,2,1,0.1,0,2
3,19,3,1,0.1,0,3
100,19,91,6,0.6,9,91
200,19,172,42,4.2,28,172
2000,19,1769,72,7.2,231,1769
2,20,2,1,0.1,0,2
3,20,3,1,0.1,0,3
100,20,93,7,0.7,7,93
200,20,187,28,2.8,13,187
2000,20,1773,143,14.3,227,1773
2,21,2,1,0.1,0,2
3,21,2,1,0.1,1,2
100,21,83,59,5.9,17,83
200,21,179,31,3.1,21,179
2000,21,1790,158,15.8,210,1790
2,22,2,1,0.1,0,2
3,22,2,1,0.1,1,2
100,22,82,11,1.1,18,82
200,22,173,42,4.2,27,173
2000,22,1798,169,16.9,202,1798
2,23,1,1,0.1,1,1
3,23,3,1,0.1,0,3
100,23,88,72,7.2,12,88
200,23,177,42,4.2,23,177
2000,23,1757,246,24.6,243,1757
2,24,2,1,0.1,0,2
3,24,3,1,0.1,0,3
100,24,88,27,2.7,12,88
200,24,164,62,6.2,36,164
2000,24,1809,54,5.4,191,1809
2,25,2,1,0.1,0,2
3,25,2,1,0.1,1,2
100,25,85,7,0.7,15,85
200,25,181,23,2.3,19,181
2000,25,1762,159,15.9,238,1762
2,26,2,1,0.1,0,2
3,26,3,1,0.1,0,3
100,26,83,92,9.2,17,83
200,26,175,49,4.9,25,175
2000,26,1803,116,11.6,197,1803
2,27,2,1,0.1,0,2
3,27,0,1,0.1,3,0
100,27,86,17,1.7,14,86
200,27,186,13,1.3,14,186
2000,27,1784,152,15.2,216,1784
2,28,1,1,0.1,1,1
3,28,2,1,0.1,1,2
100,28,82,16,1.6,18,82
200,28,183,31,3.1,17,183
2000,28,1808,61,6.1,192,1808
2,29,1,1,0.1,1,1
3,29,3,1,0.1,0,3
100,29,89,2,0.2,11,89
200,29,183,28,2.8,17,183
2000,29,1803,155,15.5,197,1803
