Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,0,1,0.1,2,0
3,1,3,1,0.1,0,3
100,1,82,42,4.2,18,82
200,1,171,86,8.6,29,171
2000,1,1766,466,46.6,234,1766
10000,1,8879,677,67.7,1121,8879
20000,1,17941,516,51.6,2059,17941
40000,1,35963,793,79.3,4037,35963
60000,1,54103,724,72.4,5897,54103
80000,1,71921,643,64.3,8079,71921
100000,1,89866,1023,102.3,10134,89866
2,2,2,1,0.1,0,2
3,2,3,1,0.1,0,3
100,2,80,49,4.9,20,80
200,2,168,87,8.7,32,168
2000,2,1788,322,32.2,212,1788
10000,2,8941,643,64.3,1059,8941
20000,2,17864,665,66.5,2136,17864
40000,2,36115,750,75.0,3885,36115
60000,2,54012,544,54.4,5988,54012
80000,2,71888,829,82.9,8112,71888
100000,2,90049,666,66.6,9951,90049
2,3,2,1,0.1,0,2
3,3,3,1,0.1,0,3
100,3,88,45,4.5,12,88
200,3,165,100,10.0,35,165
2000,3,1758,282,28.2,242,1758
10000,3,8967,595,59.5,1033,8967
20000,3,17957,669,66.9,2043,17957
40000,3,35899,636,63.6,4101,35899
60000,3,53807,755,75.5,6193,53807
80000,3,71961,675,67.5,8039,71961
100000,3,90016,992,99.2,9984,90016
2,4,2,1,0.1,0,2
3,4,3,1,0.1,0,3
100,4,90,45,4.5,10,90
200,4,177,68,6.8,23,177
2000,4,1764,409,40.9,236,1764
10000,4,8929,526,52.6,1071,8929
20000,4,17924,702,70.2,2076,17924
40000,4,35995,855,85.5,4005,35995
60000,4,53922,973,97.3,6078,53922
80000,4,71896,800,80.0,8104,71896
100000,4,89951,743,74.3,10049,89951
2,5,2,1,0.1,0,2
3,5,2,2,0.2,1,2
100,5,85,50,5.0,15,85
200,5,179,90,9.0,21,179
2000,5,1768,341,34.1,232,1768
10000,5,8951,483,48.3,1049,8951
20000,5,17942,605,60.5,2058,17942
40000,5,35948,686,68.6,4052,35948
60000,5,53887,1051,105.1,6113,53887
80000,5,71840,954,95.4,8160,71840
100000,5,89764,932,93.2,10236,89764
2,6,1,1,0.1,1,1
3,6,2,1,0.1,1,2
100,6,84,41,4.1,16,84
200,6,179,79,7.9,21,179
2000,6,1779,424,42.4,221,1779
10000,6,8920,603,60.3,1080,8920
20000,6,17909,887,88.7,2091,17909
40000,6,35882,1051,105.1,4118,35882
60000,6,53942,967,96.7,6058,53942
80000,6,71960,744,74.4,8040,71960
100000,6,89922,869,86.9,10078,89922
2,7,2,1,0.1,0,2
3,7,3,1,0.1,0,3
100,7,87,43,4.3,13,87
200,7,163,84,8.4,37,163
2000,7,1773,376,37.6,227,1773
10000,7,8986,719,71.9,1014,8986
20000,7,17907,935,93.5,2093,17907
40000,7,35960,662,66.2,4040,35960
60000,7,54036,657,65.7,5964,54036
80000,7,71827,708,70.8,8173,71827
100000,7,89910,883,88.3,10090,89910
2,8,2,1,0.1,0,2
3,8,2,1,0.1,1,2
100,8,84,41,4.1,16,84
200,8,168,80,8.0,32,168
2000,8,1746,341,34.1,254,1746
