Timestep,Iteration,Total Reward,Suboptimal Arms,Regret,Zeros Count,Ones Count
2,1,1.7152531820592447,1,0.1,1,1
3,1,2.053375619648219,1,0.1,1,2
100,1,81.46779353742339,56,5.6,56,44
200,1,162.76420427611356,68,6.8,112,88
2000,1,1748.4025649155908,684,68.4,1000,1000
2,2,1.7615285716535718,1,0.1,1,1
3,2,3.246356305756337,1,0.1,0,3
100,2,83.94636631568791,60,6.0,56,44
200,2,177.86433042927658,72,7.2,92,108
2000,2,1735.786393707438,524,52.4,1027,973
2,3,1.9895208859325995,1,0.1,0,2
3,3,2.515612705076158,1,0.1,1,2
100,3,90.74383013525774,59,5.9,42,58
200,3,166.78849164215313,50,5.0,103,97
2000,3,1766.1027830442213,518,51.8,973,1027
2,4,1.3826894002766692,1,0.1,2,0
3,4,2.4150912956671924,1,0.1,1,2
100,4,80.74559093987926,47,4.7,53,47
200,4,171.41059193356992,108,10.8,87,113
2000,4,1744.2235211958402,404,40.4,1019,981
2,5,0.5806997995132687,1,0.1,2,0
3,5,1.7863656707960047,1,0.1,2,1
100,5,81.154276089635,63,6.3,51,49
200,5,166.81723603499321,75,7.5,100,100
2000,5,1748.3715113568605,625,62.5,995,1005
2,6,1.976457896001964,1,0.1,0,2
3,6,1.9968941957216648,1,0.1,3,0
100,6,87.37775503014575,56,5.6,49,51
200,6,165.99304408285946,66,6.6,106,94
2000,6,1724.0935437310802,595,59.5,1026,974
2,7,1.3356726278880586,1,0.1,2,0
3,7,2.772177396948832,1,0.1,1,2
100,7,80.03384327514439,44,4.4,53,47
200,7,174.18936608560367,93,9.3,102,98
2000,7,1753.6250209002908,510,51.0,994,1006
2,8,1.9240186257645044,1,0.1,0,2
3,8,2.776097032609619,1,0.1,2,1
100,8,82.78097520198291,38,3.8,54,46
200,8,169.2216493355441,119,11.9,100,100
2000,8,1753.6401097034284,430,43.0,1009,991
2,9,3.0637512634276334,1,0.1,0,2
3,9,1.7890900950143689,1,0.1,2,1
100,9,83.86482341222495,55,5.5,55,45
200,9,169.34367099745276,95,9.5,104,96
2000,9,1745.64148363155,704,70.4,960,1040
2,10,2.267550955014077,1,0.1,0,2
3,10,3.0711913019952,1,0.1,0,3
100,10,90.91560232883539,59,5.9,42,58
200,10,176.43511078108807,83,8.3,94,106
2000,10,1739.4985253843806,599,59.9,1016,984
2,11,1.4891693779909143,1,0.1,2,0
3,11,2.060254958011682,1,0.1,3,0
100,11,82.84622501475295,37,3.7,52,48
200,11,164.8642034189966,111,11.1,113,87
2000,11,1754.4938350219174,542,54.2,993,1007
2,12,1.8191481262097802,1,0.1,1,1
3,12,2.271222022788314,1,0.1,1,2
100,12,89.12203520011309,38,3.8,43,57
200,12,165.70875052350704,87,8.7,108,92
2000,12,1748.9995715927676,452,45.2,1000,1000
2,13,2.3808819278371356,1,0.1,0,2
3,13,3.228159513543645,1,0.1,1,2
100,13,89.82344704639556,50,5.0,44,56
200,13,161.42672984460057,114,11.4,103,97
2000,13,1740.82558634695,549,54.9,1005,995
2,14,1.3246429146276983,1,0.1,1,1
3,14,3.190088869684808,1,0.1,0,3
100,14,84.80024040998877,63,6.3,47,53
200,14,170.2124562840057,94,9.4,97,103
2000,14,1751.5185397901882,566,56.6,988,1012
2,15,0.7785212868361935,1,0.1,2,0
3,15,2.816477266601689,1,0.1,1,2
100,15,87.15741278853827,54,5.4,41,59
200,15,168.90717721699767,90,9.0,103,97
2000,15,1739.1792166139655,401,40.1,1043,957
2,16,2.3218793961263122,1,0.1,0,2
3,16,1.00128308772969,1,0.1,3,0
100,16,88.90849607032331,41,4.1,46,54
200,16,170.93702650950817,87,8.7,95,105
2000,16,1761.7268968526073,519,51.9,968,1032
2,17,1.857449471448127,1,0.1,1,1
3,17,2.5333442701492985,1,0.1,2,1
100,17,86.62590244161494,52,5.2,45,55
200,17,165.0089124053866,94,9.4,106,94
2000,17,1754.1548039689924,338,33.8,1004,996
2,18,1.7337402419713297,1,0.1,1,1
3,18,2.7742845048480125,1,0.1,1,2
100,18,87.75622056526808,63,6.3,44,56
200,18,168.91798747182506,75,7.5,102,98
2000,18,1722.1573034558137,662,66.2,1039,961
2,19,1.6583085397862347,1,0.1,2,0
3,19,1.567705251653245,1,0.1,2,1
100,19,86.44845300695621,62,6.2,43,57
200,19,167.79049080140877,47,4.7,112,88
2000,19,1767.8018552433248,494,49.4,963,1037
2,20,1.4211498824396802,1,0.1,1,1
3,20,2.436365917394318,1,0.1,2,1
100,20,87.62295166133836,37,3.7,48,52
200,20,171.2551136801388,85,8.5,101,99
2000,20,1727.4847824784108,633,63.3,1007,993
2,21,0.978528780443272,1,0.1,2,0
3,21,2.912378088266391,1,0.1,2,1
100,21,86.90335569158222,57,5.7,46,54
200,21,163.96790196524375,124,12.4,111,89
2000,21,1736.1017381739207,426,42.6,1030,970
2,22,1.7430881568033731,1,0.1,1,1
3,22,2.441407201074343,1,0.1,2,1
100,22,82.58103845015616,63,6.3,50,50
200,22,170.58218288979617,106,10.6,104,96
2000,22,1723.9058069321773,567,56.7,1032,968
2,23,1.6147534970310815,1,0.1,1,1
3,23,1.6976911760199909,1,0.1,2,1
100,23,81.52055099810133,62,6.2,47,53
200,23,169.92310758083153,76,7.6,100,100
2000,23,1746.7396060057883,731,73.1,981,1019
2,24,1.132400185067557,1,0.1,1,1
3,24,2.8070177814232684,1,0.1,1,2
100,24,82.2026514100595,58,5.8,54,46
200,24,179.39574924382518,88,8.8,92,108
2000,24,1729.4802979319204,611,61.1,1022,978
2,25,1.723833051839713,1,0.1,1,1
3,25,2.8119886026690573,1,0.1,1,2
100,25,78.6311348160665,62,6.2,56,44
200,25,166.5738694977136,124,12.4,103,97
2000,25,1750.1808407896626,471,47.1,999,1001
2,26,1.4621782190126626,1,0.1,2,0
3,26,1.9257376142986904,1,0.1,3,0
100,26,85.42262632043901,63,6.3,48,52
200,26,166.4027842130423,101,10.1,103,97
2000,26,1719.8488848606798,519,51.9,1034,966
2,27,1.632667485623387,1,0.1,1,1
3,27,2.6836464337200736,1,0.1,1,2
100,27,84.85673279490837,37,3.7,53,47
200,27,174.3355870062246,110,11.0,96,104
2000,27,1741.1457932463973,562,56.2,994,1006
2,28,1.602701355318263,1,0.1,1,1
3,28,1.989814826957352,1,0.1,2,1
100,28,88.2336301780399,37,3.7,53,47
200,28,169.25982083204286,97,9.7,99,101
2000,28,1761.7253010245993,502,50.2,981,1019
2,29,1.5682953011293033,1,0.1,1,1
3,29,2.136312554786036,1,0.1,2,1
100,29,83.23103530860773,63,6.3,45,55
200,29,161.19639938880294,79,7.9,113,87
2000,29,1758.6515577521272,478,47.8,995,1005
2,30,2.2705246637452996,1,0.1,0,2
3,30,2.4280069982383132,1,0.1,2,1
