Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,0,2,0.2,2,0
3,1,3,3,0.3,0,3
100,1,89,50,5.0,11,89
200,1,168,100,10.0,32,168
2000,1,1624,1999,199.9,376,1624
10000,1,8554,5000,500.0,1446,8554
20000,1,17982,3,0.3,2018,17982
40000,1,35944,5,0.5,4056,35944
60000,1,54071,1,0.1,5929,54071
80000,1,64156,79997,7999.7,15844,64156
100000,1,85098,50000,5000.0,14902,85098
2,2,2,2,0.2,0,2
3,2,2,3,0.3,1,2
100,2,86,50,5.0,14,86
200,2,176,100,10.0,24,176
2000,2,1571,1999,199.9,429,1571
10000,2,8546,5000,500.0,1454,8546
20000,2,15962,19999,1999.9,4038,15962
40000,2,35904,1,0.1,4096,35904
60000,2,47981,59997,5999.7,12019,47981
80000,2,63925,79995,7999.5,16075,63925
100000,2,89992,1,0.1,10008,89992
2,3,1,2,0.2,1,1
3,3,3,3,0.3,0,3
100,3,86,50,5.0,14,86
200,3,162,100,10.0,38,162
2000,3,1790,4,0.4,210,1790
10000,3,8991,1,0.1,1009,8991
20000,3,17029,10000,1000.0,2971,17029
40000,3,36043,2,0.2,3957,36043
60000,3,51012,30000,3000.0,8988,51012
80000,3,64009,79999,7999.9,15991,64009
100000,3,85018,50000,5000.0,14982,85018
2,4,2,2,0.2,0,2
3,4,3,3,0.3,0,3
100,4,87,50,5.0,13,87
200,4,180,2,0.2,20,180
2000,4,1805,1,0.1,195,1805
10000,4,8979,2,0.2,1021,8979
20000,4,15997,19994,1999.4,4003,15997
40000,4,31968,39997,3999.7,8032,31968
60000,4,48033,59995,5999.5,11967,48033
80000,4,72016,2,0.2,7984,72016
100000,4,79941,99996,9999.6,20059,79941
2,5,2,2,0.2,0,2
3,5,2,3,0.3,1,2
100,5,87,50,5.0,13,87
200,5,181,2,0.2,19,181
2000,5,1817,3,0.3,183,1817
10000,5,8517,5000,500.0,1483,8517
20000,5,18021,2,0.2,1979,18021
40000,5,32027,39998,3999.8,7973,32027
60000,5,50915,30000,3000.0,9085,50915
80000,5,63978,79999,7999.9,16022,63978
