Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,1,0.01,0,2
3,1,3,1,0.01,0,3
100,1,88,50,0.25,12,88
200,1,175,100,0.5,25,175
2000,1,1802,1000,5.0,198,1802
3000,1,2681,1000,5.0,319,2681
2,2,2,1,0.01,0,2
3,2,3,1,0.01,0,3
100,2,92,50,0.25,8,92
200,2,183,100,0.5,17,183
2000,2,1796,1000,5.0,204,1796
3000,2,2701,1094,5.47,299,2701
2,3,1,1,0.01,1,1
3,3,1,1,0.01,2,1
100,3,88,50,0.25,12,88
200,3,177,100,0.5,23,177
2000,3,1801,1000,5.0,199,1801
3000,3,2691,1612,8.06,309,2691
2,4,2,1,0.01,0,2
3,4,3,1,0.01,0,3
100,4,87,50,0.25,13,87
200,4,181,100,0.5,19,181
2000,4,1815,1000,5.0,185,1815
3000,4,2724,1000,5.0,276,2724
2,5,1,1,0.01,1,1
3,5,2,1,0.01,1,2
100,5,90,50,0.25,10,90
200,5,179,100,0.5,21,179
2000,5,1815,1000,5.0,185,1815
3000,5,2704,1143,5.71,296,2704
2,6,2,1,0.01,0,2
3,6,3,1,0.01,0,3
100,6,83,50,0.25,17,83
200,6,173,100,0.5,27,173
2000,6,1802,1000,5.0,198,1802
3000,6,2710,1000,5.0,290,2710
2,7,2,1,0.01,0,2
3,7,3,1,0.01,0,3
100,7,84,50,0.25,16,84
200,7,172,100,0.5,28,172
2000,7,1810,1000,5.0,190,1810
3000,7,2702,1992,9.96,298,2702
2,8,2,1,0.01,0,2
3,8,3,1,0.01,0,3
100,8,91,50,0.25,9,91
200,8,182,100,0.5,18,182
2000,8,1791,1000,5.0,209,1791
3000,8,2673,1385,6.92,327,2673
2,9,2,1,0.01,0,2
3,9,2,1,0.01,1,2
100,9,86,50,0.25,14,86
200,9,179,100,0.5,21,179
2000,9,1807,1000,5.0,193,1807
3000,9,2701,1291,6.45,299,2701
2,10,2,1,0.01,0,2
3,10,3,1,0.01,0,3
100,10,94,50,0.25,6,94
200,10,180,100,0.5,20,180
2000,10,1807,1000,5.0,193,1807
3000,10,2703,1112,5.56,297,2703
2,11,2,1,0.01,0,2
3,11,3,1,0.01,0,3
100,11,89,50,0.25,11,89
200,11,176,100,0.5,24,176
2000,11,1779,1000,5.0,221,1779
3000,11,2678,2000,10.0,322,2678
2,12,2,1,0.01,0,2
3,12,3,1,0.01,0,3
100,12,94,50,0.25,6,94
200,12,184,100,0.5,16,184
2000,12,1797,1000,5.0,203,1797
3000,12,2689,1000,5.0,311,2689
2,13,2,1,0.01,0,2
3,13,3,1,0.01,0,3
100,13,89,50,0.25,11,89
200,13,183,100,0.5,17,183
2000,13,1784,1000,5.0,216,1784
3000,13,2674,2000,10.0,326,2674
2,14,2,1,0.01,0,2
3,14,3,1,0.01,0,3
100,14,91,50,0.25,9,91
200,14,183,100,0.5,17,183
2000,14,1808,1000,5.0,192,1808
3000,14,2720,2000,10.0,280,2720
2,15,2,1,0.01,0,2
3,15,3,1,0.01,0,3
100,15,84,50,0.25,16,84
200,15,177,100,0.5,23,177
2000,15,1802,1000,5.0,198,1802
3000,15,2699,2000,10.0,301,2699
2,16,2,1,0.01,0,2
3,16,3,1,0.01,0,3
100,16,88,50,0.25,12,88
200,16,181,100,0.5,19,181
2000,16,1787,1000,5.0,213,1787
3000,16,2678,2000,10.0,322,2678
2,17,2,1,0.01,0,2
3,17,3,1,0.01,0,3
100,17,88,50,0.25,12,88
200,17,175,100,0.5,25,175
2000,17,1809,1000,5.0,191,1809
3000,17,2711,1364,6.82,289,2711
2,18,2,1,0.01,0,2
3,18,3,1,0.01,0,3
100,18,84,50,0.25,16,84
200,18,170,100,0.5,30,170
2000,18,1795,1000,5.0,205,1795
3000,18,2694,1202,6.01,306,2694
2,19,2,1,0.01,0,2
3,19,3,1,0.01,0,3
100,19,86,50,0.25,14,86
200,19,173,100,0.5,27,173
2000,19,1791,1000,5.0,209,1791
3000,19,2696,1000,5.0,304,2696
2,20,2,1,0.01,0,2
3,20,3,1,0.01,0,3
100,20,95,50,0.25,5,95
200,20,180,100,0.5,20,180
2000,20,1797,1000,5.0,203,1797
3000,20,2695,1000,5.0,305,2695
2,21,1,1,0.01,1,1
3,21,2,1,0.01,1,2
100,21,90,50,0.25,10,90
200,21,177,100,0.5,23,177
2000,21,1806,1000,5.0,194,1806
3000,21,2699,1535,7.67,301,2699
2,22,2,1,0.01,0,2
3,22,3,1,0.01,0,3
100,22,94,50,0.25,6,94
200,22,187,100,0.5,13,187
2000,22,1802,1000,5.0,198,1802
3000,22,2680,1611,8.05,320,2680
2,23,2,1,0.01,0,2
3,23,3,1,0.01,0,3
100,23,93,50,0.25,7,93
200,23,175,100,0.5,25,175
2000,23,1796,1000,5.0,204,1796
3000,23,2685,1700,8.5,315,2685
2,24,1,1,0.01,1,1
3,24,2,1,0.01,1,2
100,24,90,50,0.25,10,90
200,24,178,100,0.5,22,178
2000,24,1794,1000,5.0,206,1794
3000,24,2691,1000,5.0,309,2691
2,25,2,1,0.01,0,2
3,25,3,1,0.01,0,3
100,25,91,50,0.25,9,91
200,25,174,100,0.5,26,174
2000,25,1799,1000,5.0,201,1799
3000,25,2699,1000,5.0,301,2699
2,26,2,1,0.01,0,2
3,26,3,1,0.01,0,3
100,26,89,50,0.25,11,89
200,26,181,100,0.5,19,181
2000,26,1787,1000,5.0,213,1787
3000,26,2673,1789,8.94,327,2673
2,27,1,1,0.01,1,1
3,27,2,1,0.01,1,2
