Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,1,1,0.01,1,1
3,1,3,1,0.01,0,3
100,1,88,45,0.23,12,88
200,1,178,108,0.54,22,178
2000,1,1812,760,3.8,188,1812
10000,1,9019,2554,12.77,981,9019
20000,1,17973,9010,45.05,2027,17973
40000,1,35951,6291,31.45,4049,35951
60000,1,53961,13470,67.35,6039,53961
80000,1,71817,30925,154.62,8183,71817
100000,1,89789,22391,111.95,10211,89789
2,2,2,1,0.01,0,2
3,2,3,1,0.01,0,3
100,2,92,79,0.4,8,92
200,2,181,97,0.49,19,181
2000,2,1796,1212,6.06,204,1796
10000,2,8955,5178,25.89,1045,8955
20000,2,17925,7085,35.42,2075,17925
40000,2,35962,15624,78.12,4038,35962
60000,2,53964,17481,87.4,6036,53964
80000,2,72056,20752,103.76,7944,72056
100000,2,90005,21534,107.67,9995,90005
2,3,2,1,0.01,0,2
3,3,3,1,0.01,0,3
100,3,90,5,0.03,10,90
200,3,176,100,0.5,24,176
2000,3,1779,1417,7.08,221,1779
10000,3,9007,3107,15.54,993,9007
20000,3,17920,9230,46.15,2080,17920
40000,3,35995,11951,59.76,4005,35995
60000,3,53736,21499,107.49,6264,53736
80000,3,72022,11099,55.5,7978,72022
100000,3,89953,13865,69.33,10047,89953
2,4,2,1,0.01,0,2
3,4,2,1,0.01,1,2
100,4,92,44,0.22,8,92
200,4,174,77,0.39,26,174
2000,4,1792,680,3.4,208,1792
10000,4,8983,2062,10.31,1017,8983
20000,4,17953,9628,48.14,2047,17953
40000,4,35981,10077,50.39,4019,35981
60000,4,53851,29117,145.58,6149,53851
80000,4,71917,12060,60.3,8083,71917
100000,4,89826,36468,182.34,10174,89826
2,5,1,1,0.01,1,1
3,5,3,1,0.01,0,3
100,5,92,47,0.24,8,92
200,5,183,67,0.34,17,183
2000,5,1802,1022,5.11,198,1802
10000,5,9029,5033,25.16,971,9029
20000,5,17981,5931,29.65,2019,17981
40000,5,35973,8260,41.3,4027,35973
60000,5,53830,23771,118.85,6170,53830
80000,5,71887,18866,94.33,8113,71887
100000,5,89689,32825,164.12,10311,89689
2,6,2,1,0.01,0,2
3,6,3,1,0.01,0,3
100,6,92,48,0.24,8,92
200,6,178,33,0.17,22,178
2000,6,1788,519,2.59,212,1788
10000,6,8970,4533,22.66,1030,8970
20000,6,17953,8907,44.54,2047,17953
40000,6,35942,9910,49.55,4058,35942
60000,6,54034,14568,72.84,5966,54034
80000,6,71740,13769,68.85,8260,71740
100000,6,89733,31167,155.83,10267,89733
2,7,2,1,0.01,0,2
3,7,2,1,0.01,1,2
100,7,89,27,0.14,11,89
200,7,187,121,0.61,13,187
2000,7,1789,1003,5.01,211,1789
10000,7,8972,4657,23.28,1028,8972
20000,7,17921,8024,40.12,2079,17921
40000,7,35966,20478,102.39,4034,35966
60000,7,53891,25135,125.67,6109,53891
80000,7,71802,35346,176.73,8198,71802
100000,7,89947,35100,175.5,10053,89947
2,8,1,1,0.01,1,1
3,8,3,1,0.01,0,3
100,8,92,50,0.25,8,92
200,8,178,117,0.59,22,178
2000,8,1799,861,4.3,201,1799
10000,8,8959,4288,21.44,1041,8959
20000,8,17959,7353,36.77,2041,17959
40000,8,35969,15882,79.41,4031,35969
60000,8,53734,26227,131.13,6266,53734
80000,8,72023,19426,97.13,7977,72023
100000,8,89959,35448,177.24,10041,89959
2,9,2,1,0.01,0,2
3,9,2,1,0.01,1,2
100,9,84,95,0.48,16,84
200,9,185,74,0.37,15,185
2000,9,1797,1033,5.16,203,1797
10000,9,8919,4139,20.7,1081,8919
20000,9,18004,7792,38.96,1996,18004
40000,9,36050,8355,41.78,3950,36050
60000,9,53911,13591,67.96,6089,53911
80000,9,71871,24701,123.5,8129,71871
100000,9,89824,28174,140.87,10176,89824
2,10,2,1,0.01,0,2
3,10,3,1,0.01,0,3
100,10,85,22,0.11,15,85
200,10,179,77,0.39,21,179
2000,10,1793,1156,5.78,207,1793
10000,10,8993,4443,22.21,1007,8993
20000,10,17972,10580,52.9,2028,17972
40000,10,35896,12802,64.01,4104,35896
60000,10,53884,20387,101.93,6116,53884
80000,10,71943,19942,99.71,8057,71943
100000,10,90030,21437,107.18,9970,90030
2,11,2,1,0.01,0,2
3,11,3,1,0.01,0,3
100,11,92,40,0.2,8,92
200,11,177,112,0.56,23,177
2000,11,1788,1292,6.46,212,1788
10000,11,9026,4418,22.09,974,9026
20000,11,17931,6839,34.19,2069,17931
40000,11,35948,12126,60.63,4052,35948
60000,11,54097,11208,56.04,5903,54097
80000,11,71868,22905,114.52,8132,71868
100000,11,89918,34220,171.1,10082,89918
2,12,2,1,0.01,0,2
3,12,3,1,0.01,0,3
100,12,90,28,0.14,10,90
200,12,172,92,0.46,28,172
2000,12,1803,592,2.96,197,1803
10000,12,8962,4780,23.9,1038,8962
20000,12,17981,8822,44.11,2019,17981
40000,12,35967,18037,90.18,4033,35967
60000,12,53992,19447,97.23,6008,53992
80000,12,71807,15173,75.87,8193,71807
100000,12,89945,28120,140.6,10055,89945
2,13,1,1,0.01,1,1
3,13,2,1,0.01,1,2
100,13,88,98,0.49,12,88
200,13,183,86,0.43,17,183
2000,13,1804,1587,7.93,196,1804
10000,13,8925,4886,24.43,1075,8925
20000,13,17991,5349,26.74,2009,17991
40000,13,35849,14220,71.1,4151,35849
60000,13,53865,13341,66.71,6135,53865
80000,13,71980,13777,68.89,8020,71980
100000,13,89845,44109,220.54,10155,89845
2,14,2,1,0.01,0,2
3,14,3,1,0.01,0,3
100,14,87,79,0.4,13,87
200,14,181,18,0.09,19,181
2000,14,1811,865,4.32,189,1811
10000,14,9013,3698,18.49,987,9013
20000,14,17936,6558,32.79,2064,17936
40000,14,35927,14667,73.34,4073,35927
60000,14,53835,21337,106.68,6165,53835
80000,14,72105,20022,100.11,7895,72105
100000,14,89728,44634,223.17,10272,89728
2,15,1,1,0.01,1,1
3,15,2,1,0.01,1,2
100,15,83,53,0.27,17,83
200,15,186,107,0.54,14,186
2000,15,1788,872,4.36,212,1788
10000,15,8981,5105,25.52,1019,8981
20000,15,18037,4196,20.98,1963,18037
40000,15,35941,7364,36.82,4059,35941
60000,15,53817,16670,83.35,6183,53817
80000,15,71950,26963,134.81,8050,71950
100000,15,89784,51021,255.1,10216,89784
2,16,2,1,0.01,0,2
3,16,3,1,0.01,0,3
100,16,87,83,0.42,13,87
200,16,182,71,0.36,18,182
2000,16,1790,1276,6.38,210,1790
10000,16,8959,2702,13.51,1041,8959
20000,16,17976,11330,56.65,2024,17976
40000,16,35808,19892,99.46,4192,35808
60000,16,53882,9354,46.77,6118,53882
80000,16,71648,30393,151.96,8352,71648
100000,16,89923,33898,169.49,10077,89923
2,17,2,1,0.01,0,2
3,17,3,1,0.01,0,3
100,17,86,71,0.36,14,86
200,17,181,97,0.49,19,181
2000,17,1804,887,4.43,196,1804
10000,17,8975,3614,18.07,1025,8975
20000,17,18026,8320,41.6,1974,18026
40000,17,35889,8260,41.3,4111,35889
60000,17,53882,16658,83.29,6118,53882
80000,17,71914,16539,82.69,8086,71914
100000,17,90000,19853,99.26,10000,90000
2,18,2,1,0.01,0,2
3,18,2,1,0.01,1,2
100,18,94,50,0.25,6,94
200,18,175,48,0.24,25,175
2000,18,1800,992,4.96,200,1800
10000,18,9002,4348,21.74,998,9002
20000,18,17855,9988,49.94,2145,17855
40000,18,35994,19603,98.01,4006,35994
60000,18,53938,15689,78.45,6062,53938
80000,18,71904,25967,129.83,8096,71904
100000,18,89889,11224,56.12,10111,89889
2,19,1,1,0.01,1,1
3,19,2,1,0.01,1,2
100,19,87,54,0.27,13,87
200,19,177,82,0.41,23,177
2000,19,1820,802,4.01,180,1820
10000,19,8972,4402,22.01,1028,8972
20000,19,17945,7610,38.05,2055,17945
40000,19,35947,11131,55.66,4053,35947
60000,19,53861,27680,138.4,6139,53861
80000,19,71884,32094,160.47,8116,71884
100000,19,89813,24804,124.02,10187,89813
2,20,2,1,0.01,0,2
3,20,2,1,0.01,1,2
100,20,88,53,0.27,12,88
200,20,173,50,0.25,27,173
2000,20,1781,1130,5.65,219,1781
10000,20,8974,3381,16.91,1026,8974
20000,20,18026,3617,18.09,1974,18026
40000,20,35895,11867,59.34,4105,35895
60000,20,53865,23225,116.12,6135,53865
80000,20,71910,25178,125.89,8090,71910
100000,20,89715,29155,145.77,10285,89715
2,21,2,1,0.01,0,2
3,21,3,1,0.01,0,3
100,21,90,49,0.25,10,90
200,21,181,109,0.55,19,181
2000,21,1777,869,4.34,223,1777
10000,21,9018,1921,9.61,982,9018
20000,21,17878,5225,26.12,2122,17878
40000,21,35950,15166,75.83,4050,35950
60000,21,53813,11517,57.59,6187,53813
80000,21,71733,28342,141.71,8267,71733
100000,21,89920,17690,88.45,10080,89920
2,22,2,1,0.01,0,2
3,22,3,1,0.01,0,3
100,22,84,34,0.17,16,84
200,22,182,88,0.44,18,182
2000,22,1810,935,4.67,190,1810
10000,22,8900,5279,26.39,1100,8900
20000,22,17989,7997,39.99,2011,17989
40000,22,35780,14379,71.9,4220,35780
60000,22,53901,21224,106.12,6099,53901
80000,22,71850,27246,136.23,8150,71850
100000,22,90071,21271,106.35,9929,90071
2,23,2,1,0.01,0,2
3,23,2,1,0.01,1,2
100,23,93,66,0.33,7,93
200,23,178,91,0.46,22,178
2000,23,1765,854,4.27,235,1765
10000,23,8965,4361,21.8,1035,8965
20000,23,17992,4277,21.39,2008,17992
40000,23,35789,13004,65.02,4211,35789
60000,23,53902,14368,71.84,6098,53902
80000,23,71844,24879,124.39,8156,71844
100000,23,89892,35596,177.98,10108,89892
2,24,2,1,0.01,0,2
3,24,3,1,0.01,0,3
100,24,95,64,0.32,5,95
200,24,184,2,0.01,16,184
2000,24,1813,650,3.25,187,1813
10000,24,8949,4234,21.17,1051,8949
