Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,1,0.1,0,2
3,1,3,1,0.1,0,3
100,1,87,48,4.8,13,87
200,1,169,84,8.4,31,169
2000,1,1764,409,40.9,236,1764
2,2,2,1,0.1,0,2
3,2,3,1,0.1,0,3
100,2,86,42,4.2,14,86
200,2,167,84,8.4,33,167
2000,2,1763,406,40.6,237,1763
2,3,1,1,0.1,1,1
3,3,2,2,0.2,1,2
100,3,81,44,4.4,19,81
200,3,167,82,8.2,33,167
2000,3,1774,452,45.2,226,1774
2,4,2,1,0.1,0,2
3,4,3,1,0.1,0,3
100,4,88,47,4.7,12,88
200,4,175,88,8.8,25,175
2000,4,1763,303,30.3,237,1763
2,5,2,1,0.1,0,2
3,5,3,1,0.1,0,3
100,5,80,41,4.1,20,80
200,5,166,77,7.7,34,166
2000,5,1773,362,36.2,227,1773
2,6,2,1,0.1,0,2
3,6,3,1,0.1,0,3
100,6,84,43,4.3,16,84
200,6,167,88,8.8,33,167
2000,6,1775,352,35.2,225,1775
2,7,1,1,0.1,1,1
3,7,3,1,0.1,0,3
100,7,88,50,5.0,12,88
200,7,164,75,7.5,36,164
2000,7,1751,327,32.7,249,1751
2,8,2,1,0.1,0,2
3,8,2,2,0.2,1,2
100,8,88,48,4.8,12,88
200,8,175,87,8.7,25,175
2000,8,1758,419,41.9,242,1758
2,9,2,1,0.1,0,2
3,9,3,1,0.1,0,3
100,9,82,42,4.2,18,82
200,9,170,75,7.5,30,170
2000,9,1785,324,32.4,215,1785
2,10,1,1,0.1,1,1
3,10,3,1,0.1,0,3
100,10,85,43,4.3,15,85
200,10,173,74,7.4,27,173
2000,10,1757,351,35.1,243,1757
2,11,2,1,0.1,0,2
3,11,3,1,0.1,0,3
100,11,93,51,5.1,7,93
200,11,178,80,8.0,22,178
2000,11,1767,444,44.4,233,1767
2,12,2,1,0.1,0,2
3,12,3,1,0.1,0,3
100,12,84,50,5.0,16,84
200,12,178,83,8.3,22,178
2000,12,1765,386,38.6,235,1765
2,13,1,1,0.1,1,1
3,13,3,1,0.1,0,3
100,13,79,48,4.8,21,79
200,13,165,80,8.0,35,165
2000,13,1772,409,40.9,228,1772
2,14,2,1,0.1,0,2
3,14,2,1,0.1,1,2
