Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,16,2,1,0.01,0,2
3,16,3,2,0.01,0,3
100,16,92,50,0.25,8,92
200,16,181,100,0.5,19,181
2000,16,1765,1000,5.0,235,1765
10000,16,8933,1000,5.0,1067,8933
20000,16,17910,1000,5.0,2090,17910
40000,16,35875,1000,5.0,4125,35875
60000,16,53884,1000,5.0,6116,53884
80000,16,71869,1000,5.0,8131,71869
100000,16,89818,1000,5.0,10182,89818
2,17,2,1,0.01,0,2
3,17,3,2,0.01,0,3
100,17,87,50,0.25,13,87
200,17,171,100,0.5,29,171
2000,17,1800,1000,5.0,200,1800
10000,17,8993,1208,6.04,1007,8993
20000,17,17964,1208,6.04,2036,17964
40000,17,36000,1208,6.04,4000,36000
60000,17,53986,1208,6.04,6014,53986
80000,17,71989,1208,6.04,8011,71989
100000,17,89997,1208,6.04,10003,89997
2,18,1,1,0.01,1,1
3,18,2,2,0.01,1,2
100,18,89,50,0.25,11,89
200,18,179,100,0.5,21,179
2000,18,1794,1000,5.0,206,1794
10000,18,8971,1611,8.05,1029,8971
20000,18,17927,1611,8.05,2073,17927
40000,18,35972,1611,8.05,4028,35972
60000,18,53924,1611,8.05,6076,53924
80000,18,71829,1611,8.05,8171,71829
100000,18,89754,1611,8.05,10246,89754
2,19,1,1,0.01,1,1
3,19,2,2,0.01,1,2
100,19,87,50,0.25,13,87
200,19,170,100,0.5,30,170
2000,19,1769,1000,5.0,231,1769
10000,19,8932,9000,45.0,1068,8932
20000,19,17887,19000,95.0,2113,17887
40000,19,35729,39000,195.0,4271,35729
60000,19,53673,59000,295.0,6327,53673
80000,19,71559,79000,395.0,8441,71559
100000,19,89459,99000,495.0,10541,89459
2,20,2,1,0.01,0,2
3,20,3,2,0.01,0,3
100,20,91,50,0.25,9,91
200,20,179,100,0.5,21,179
2000,20,1787,1000,5.0,213,1787
10000,20,9019,1000,5.0,981,9019
20000,20,17992,1000,5.0,2008,17992
40000,20,36056,1000,5.0,3944,36056
60000,20,54138,1000,5.0,5862,54138
80000,20,72137,1000,5.0,7863,72137
100000,20,90120,1000,5.0,9880,90120
2,21,2,1,0.01,0,2
3,21,2,2,0.01,1,2
100,21,94,50,0.25,6,94
200,21,182,100,0.5,18,182
