Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,0,0.0,1,0
3,1,3,0,0.0,1,0
100,1,86,36,3.6,0,0
200,1,177,43,4.3,0,0
2000,1,1780,221,22.1,0,0
2,2,2,0,0.0,1,0
3,2,1,0,0.0,1,1
100,2,87,63,6.3,0,0
200,2,176,43,4.3,0,0
2000,2,1779,221,22.1,0,0
2,3,2,0,0.0,1,0
3,3,3,0,0.0,1,0
100,3,80,58,5.8,0,0
200,3,175,43,4.3,0,0
2000,3,1764,221,22.1,0,0
2,4,2,0,0.0,1,0
3,4,3,0,0.0,1,0
100,4,86,36,3.6,0,0
200,4,179,43,4.3,0,0
2000,4,1762,221,22.1,0,0
2,5,1,0,0.0,1,1
3,5,3,0,0.0,1,0
100,5,89,38,3.8,0,0
200,5,173,43,4.3,0,0
2000,5,1767,221,22.1,0,0
2,6,2,0,0.0,1,0
3,6,3,0,0.0,1,0
100,6,91,36,3.6,0,0
200,6,173,43,4.3,0,0
2000,6,1802,221,22.1,0,0
2,7,2,0,0.0,1,0
3,7,3,0,0.0,1,0
100,7,86,36,3.6,0,0
200,7,178,43,4.3,0,0
2000,7,1798,221,22.1,0,0
2,8,2,0,0.0,1,0
3,8,3,0,0.0,1,0
100,8,90,41,4.1,0,0
200,8,172,43,4.3,0,0
2000,8,1787,221,22.1,0,0
2,9,2,0,0.0,1,0
3,9,2,0,0.0,1,0
100,9,86,36,3.6,0,0
200,9,180,55,5.5,0,0
2000,9,1760,221,22.1,0,0
2,10,2,0,0.0,1,0
3,10,3,0,0.0,1,0
100,10,88,36,3.6,0,0
200,10,174,43,4.3,0,0
2000,10,1770,221,22.1,0,0
2,11,1,0,0.0,1,1
3,11,3,0,0.0,1,0
100,11,86,36,3.6,0,0
200,11,177,46,4.6,0,0
2000,11,1756,221,22.1,0,0
2,12,2,0,0.0,1,0
3,12,3,0,0.0,1,0
100,12,90,36,3.6,0,0
200,12,179,43,4.3,0,0
2000,12,1760,221,22.1,0,0
2,13,2,0,0.0,1,0
3,13,3,0,0.0,1,0
100,13,82,36,3.6,0,0
200,13,174,43,4.3,0,0
2000,13,1793,221,22.1,0,0
2,14,2,0,0.0,1,0
3,14,2,0,0.0,1,0
100,14,88,36,3.6,0,0
200,14,180,66,6.6,0,0
2000,14,1768,221,22.1,0,0
2,15,2,0,0.0,1,0
3,15,3,0,0.0,1,0
100,15,87,36,3.6,0,0
200,15,176,43,4.3,0,0
2000,15,1763,221,22.1,0,0
2,16,1,0,0.0,1,1
3,16,3,0,0.0,1,0
100,16,88,36,3.6,0,0
200,16,179,43,4.3,0,0
2000,16,1779,221,22.1,0,0
2,17,1,0,0.0,1,1
3,17,3,0,0.0,1,0
100,17,83,36,3.6,0,0
200,17,179,43,4.3,0,0
2000,17,1780,221,22.1,0,0
2,18,1,0,0.0,1,1
3,18,3,0,0.0,1,0
100,18,83,36,3.6,0,0
200,18,175,43,4.3,0,0
2000,18,1783,221,22.1,0,0
2,19,2,0,0.0,1,0
3,19,3,0,0.0,1,0
100,19,89,36,3.6,0,0
200,19,171,43,4.3,0,0
2000,19,1781,221,22.1,0,0
2,20,2,0,0.0,1,0
3,20,3,0,0.0,1,0
100,20,90,36,3.6,0,0
200,20,174,43,4.3,0,0
2000,20,1753,221,22.1,0,0
2,21,1,0,0.0,1,1
3,21,3,0,0.0,1,0
100,21,84,36,3.6,0,0
200,21,172,43,4.3,0,0
2000,21,1799,221,22.1,0,0
2,22,2,0,0.0,1,0
3,22,2,0,0.0,1,0
100,22,89,63,6.3,0,0
200,22,174,43,4.3,0,0
2000,22,1780,221,22.1,0,0
2,23,2,0,0.0,1,0
3,23,2,0,0.0,1,0
100,23,92,36,3.6,0,0
200,23,176,43,4.3,0,0
2000,23,1790,221,22.1,0,0
2,24,1,0,0.0,1,1
3,24,3,0,0.0,1,0
100,24,87,56,5.6,0,0
200,24,162,43,4.3,0,0
2000,24,1796,221,22.1,0,0
2,25,2,0,0.0,1,0
3,25,3,0,0.0,1,0
100,25,92,48,4.8,0,0
200,25,174,43,4.3,0,0
2000,25,1787,221,22.1,0,0
2,26,2,0,0.0,1,0
3,26,3,0,0.0,1,0
100,26,90,36,3.6,0,0
200,26,176,43,4.3,0,0
2000,26,1753,221,22.1,0,0
2,27,2,0,0.0,1,0
3,27,3,0,0.0,1,0
100,27,91,36,3.6,0,0
200,27,169,43,4.3,0,0
2000,27,1785,221,22.1,0,0
2,28,2,0,0.0,1,0
3,28,2,0,0.0,1,0
100,28,82,40,4.0,0,0
200,28,175,43,4.3,0,0
2000,28,1779,221,22.1,0,0
2,29,2,0,0.0,1,0
3,29,3,0,0.0,1,0
100,29,84,36,3.6,0,0
200,29,178,43,4.3,0,0
2000,29,1791,221,22.1,0,0
2,30,1,0,0.0,1,1
3,30,3,0,0.0,1,0
100,30,88,36,3.6,0,0
200,30,175,43,4.3,0,0
2000,30,1777,221,22.1,0,0
2,31,2,0,0.0,1,0
3,31,3,0,0.0,1,0
100,31,82,36,3.6,0,0
200,31,166,90,9.0,0,0
2000,31,1766,221,22.1,0,0
2,32,2,0,0.0,1,0
3,32,3,0,0.0,1,0
100,32,83,36,3.6,0,0
200,32,178,68,6.8,0,0
2000,32,1752,221,22.1,0,0
2,33,2,0,0.0,1,0
3,33,3,0,0.0,1,0
100,33,91,36,3.6,0,0
200,33,179,43,4.3,0,0
2000,33,1754,221,22.1,0,0
2,34,2,0,0.0,1,0
3,34,3,0,0.0,1,0
100,34,92,36,3.6,0,0
200,34,176,43,4.3,0,0
2000,34,1794,221,22.1,0,0
2,35,2,0,0.0,1,0
3,35,3,0,0.0,1,0
100,35,85,36,3.6,0,0
200,35,175,43,4.3,0,0
2000,35,1776,221,22.1,0,0
2,36,1,0,0.0,1,1
3,36,3,0,0.0,1,0
100,36,89,36,3.6,0,0
200,36,185,43,4.3,0,0
2000,36,1780,221,22.1,0,0
2,37,2,0,0.0,1,0
3,37,3,0,0.0,1,0
100,37,87,36,3.6,0,0
200,37,174,43,4.3,0,0
2000,37,1777,221,22.1,0,0
2,38,2,0,0.0,1,0
3,38,3,0,0.0,1,0
100,38,90,36,3.6,0,0
200,38,175,43,4.3,0,0
2000,38,1791,221,22.1,0,0
2,39,2,0,0.0,1,0
3,39,2,0,0.0,1,0
100,39,90,36,3.6,0,0
200,39,177,43,4.3,0,0
2000,39,1770,221,22.1,0,0
2,40,2,0,0.0,1,0
3,40,3,0,0.0,1,0
100,40,87,36,3.6,0,0
200,40,175,43,4.3,0,0
2000,40,1762,221,22.1,0,0
2,41,2,0,0.0,1,0
3,41,3,0,0.0,1,0
100,41,83,42,4.2,0,0
200,41,172,43,4.3,0,0
2000,41,1784,221,22.1,0,0
2,42,2,0,0.0,1,0
3,42,3,0,0.0,1,0
100,42,87,36,3.6,0,0
200,42,180,43,4.3,0,0
2000,42,1795,221,22.1,0,0
2,43,1,0,0.0,1,1
3,43,3,0,0.0,1,0
100,43,92,36,3.6,0,0
200,43,171,43,4.3,0,0
2000,43,1769,221,22.1,0,0
2,44,1,0,0.0,1,1
3,44,3,0,0.0,1,0
100,44,90,36,3.6,0,0
200,44,176,43,4.3,0,0
2000,44,1788,221,22.1,0,0
2,45,1,0,0.0,1,1
3,45,3,0,0.0,1,0
100,45,83,38,3.8,0,0
200,45,169,43,4.3,0,0
2000,45,1774,221,22.1,0,0
2,46,1,0,0.0,1,1
3,46,2,0,0.0,1,0
100,46,80,64,6.4,0,0
200,46,181,43,4.3,0,0
2000,46,1798,221,22.1,0,0
2,47,2,0,0.0,1,0
3,47,3,0,0.0,1,0
100,47,85,36,3.6,0,0
200,47,174,43,4.3,0,0
2000,47,1767,221,22.1,0,0
2,48,2,0,0.0,1,0
3,48,2,0,0.0,1,0
100,48,90,36,3.6,0,0
200,48,175,43,4.3,0,0
2000,48,1787,221,22.1,0,0
2,49,2,0,0.0,1,0
3,49,3,0,0.0,1,0
100,49,87,36,3.6,0,0
200,49,183,43,4.3,0,0
2000,49,1746,221,22.1,0,0
2,50,2,0,0.0,1,0
3,50,3,0,0.0,1,0
100,50,86,36,3.6,0,0
200,50,176,43,4.3,0,0
2000,50,1796,221,22.1,0,0
2,51,1,0,0.0,1,1
3,51,3,0,0.0,1,0
100,51,84,36,3.6,0,0
200,51,173,43,4.3,0,0
2000,51,1766,221,22.1,0,0
2,52,2,0,0.0,1,0
3,52,1,0,0.0,1,1
100,52,88,36,3.6,0,0
200,52,179,43,4.3,0,0
2000,52,1776,221,22.1,0,0
2,53,1,0,0.0,1,1
3,53,3,0,0.0,1,0
100,53,82,54,5.4,0,0
200,53,173,43,4.3,0,0
2000,53,1796,221,22.1,0,0
2,54,2,0,0.0,1,0
3,54,3,0,0.0,1,0
100,54,86,36,3.6,0,0
200,54,166,52,5.2,0,0
2000,54,1773,221,22.1,0,0
2,55,2,0,0.0,1,0
3,55,3,0,0.0,1,0
100,55,86,36,3.6,0,0
200,55,173,43,4.3,0,0
2000,55,1804,221,22.1,0,0
2,56,1,0,0.0,1,1
3,56,2,0,0.0,1,0
100,56,87,36,3.6,0,0
200,56,174,43,4.3,0,0
2000,56,1779,221,22.1,0,0
2,57,1,0,0.0,1,1
3,57,3,0,0.0,1,0
100,57,82,36,3.6,0,0
200,57,177,43,4.3,0,0
2000,57,1764,221,22.1,0,0
2,58,2,0,0.0,1,0
3,58,3,0,0.0,1,0
100,58,86,36,3.6,0,0
200,58,174,69,6.9,0,0
2000,58,1781,221,22.1,0,0
2,59,1,0,0.0,1,1
3,59,3,0,0.0,1,0
100,59,92,47,4.7,0,0
200,59,179,43,4.3,0,0
2000,59,1769,221,22.1,0,0
2,60,2,0,0.0,1,0
3,60,3,0,0.0,1,0
100,60,79,36,3.6,0,0
200,60,183,43,4.3,0,0
2000,60,1778,221,22.1,0,0
2,61,2,0,0.0,1,0
3,61,3,0,0.0,1,0
100,61,83,36,3.6,0,0
200,61,178,91,9.1,0,0
2000,61,1798,221,22.1,0,0
2,62,2,0,0.0,1,0
3,62,3,0,0.0,1,0
100,62,87,36,3.6,0,0
200,62,167,43,4.3,0,0
2000,62,1789,221,22.1,0,0
2,63,2,0,0.0,1,0
3,63,3,0,0.0,1,0
100,63,96,36,3.6,0,0
200,63,171,43,4.3,0,0
2000,63,1767,221,22.1,0,0
2,64,2,0,0.0,1,0
3,64,2,0,0.0,1,0
100,64,87,36,3.6,0,0
200,64,178,43,4.3,0,0
2000,64,1788,221,22.1,0,0
2,65,2,0,0.0,1,0
3,65,2,0,0.0,1,0
100,65,88,36,3.6,0,0
200,65,176,43,4.3,0,0
2000,65,1806,221,22.1,0,0
2,66,1,0,0.0,1,1
3,66,3,0,0.0,1,0
100,66,90,64,6.4,0,0
200,66,179,74,7.4,0,0
2000,66,1784,221,22.1,0,0
2,67,2,0,0.0,1,0
3,67,3,0,0.0,1,0
100,67,86,36,3.6,0,0
200,67,170,43,4.3,0,0
2000,67,1754,221,22.1,0,0
2,68,2,0,0.0,1,0
3,68,2,0,0.0,1,0
100,68,81,36,3.6,0,0
200,68,171,43,4.3,0,0
2000,68,1759,221,22.1,0,0
2,69,1,0,0.0,1,1
3,69,1,0,0.0,1,1
100,69,90,36,3.6,0,0
200,69,172,43,4.3,0,0
2000,69,1770,221,22.1,0,0
2,70,2,0,0.0,1,0
3,70,3,0,0.0,1,0
100,70,81,36,3.6,0,0
200,70,183,43,4.3,0,0
2000,70,1776,221,22.1,0,0
2,71,2,0,0.0,1,0
3,71,3,0,0.0,1,0
100,71,81,55,5.5,0,0
200,71,177,43,4.3,0,0
2000,71,1765,221,22.1,0,0
2,72,2,0,0.0,1,0
3,72,2,0,0.0,1,0
100,72,85,36,3.6,0,0
200,72,170,43,4.3,0,0
2000,72,1779,221,22.1,0,0
2,73,2,0,0.0,1,0
3,73,2,0,0.0,1,0
100,73,81,59,5.9,0,0
200,73,170,43,4.3,0,0
2000,73,1771,221,22.1,0,0
2,74,2,0,0.0,1,0
3,74,3,0,0.0,1,0
