Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count,Pulls complete
2,1.76,0.12,0.012000000000000002,0.24,1.76
3,2.68,0.31,0.031,0.32,2.68
100,88.8,15.86,1.5859999999999999,11.2,88.8
200,178.38,23.1,2.3100000000000005,21.62,178.38
2000,1787.73,130.61,13.060999999999995,212.27,1787.73
10000,8947.41,524.94,52.49400000000001,1052.59,8947.41
20000,17897.79,1022.89,102.289,2102.21,17897.79
40000,35786.15,2038.64,203.864,4213.85,35786.15
60000,53687.55,3017.61,301.76099999999997,6312.45,53687.55
80000,71596.08,4031.14,403.11400000000015,8403.92,71596.08
100000,89490.37,5030.85,503.0850000000002,10509.63,89490.37
