Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,0,0.0,0,2
3,1,1,0,0.0,2,1
100,1,42,99,0.5,58,42
200,1,99,199,1.0,101,99
2000,1,975,2,0.01,1025,975
10000,1,4996,9999,50.0,5004,4996
20000,1,10136,4,0.02,9864,10136
40000,1,19756,39999,199.99,20244,19756
60000,1,29654,59997,299.98,30346,29654
80000,1,39759,2,0.01,40241,39759
100000,1,49910,3,0.02,50090,49910
2,2,2,0,0.0,0,2
3,2,2,0,0.0,1,2
100,2,46,50,0.25,54,46
200,2,92,199,1.0,108,92
2000,2,989,1999,10.0,1011,989
10000,2,4913,3,0.02,5087,4913
20000,2,9994,1,0.01,10006,9994
40000,2,19935,39999,199.99,20065,19935
60000,2,29497,59999,299.99,30503,29497
80000,2,39859,1,0.01,40141,39859
100000,2,50131,1,0.01,49869,50131
2,3,0,0,0.0,2,0
3,3,1,0,0.0,2,1
100,3,53,98,0.49,47,53
200,3,96,3,0.02,104,96
2000,3,1015,1,0.01,985,1015
10000,3,5037,9997,49.99,4963,5037
20000,3,9919,1,0.01,10081,9919
40000,3,19939,1,0.01,20061,19939
60000,3,30037,1,0.01,29963,30037
80000,3,39708,79998,399.99,40292,39708
100000,3,50045,1,0.01,49955,50045
2,4,2,0,0.0,0,2
3,4,1,0,0.0,2,1
100,4,44,2,0.01,56,44
200,4,103,197,0.99,97,103
2000,4,1001,1,0.01,999,1001
10000,4,5004,5,0.03,4996,5004
20000,4,9995,19999,99.99,10005,9995
40000,4,20065,1,0.01,19935,20065
60000,4,29573,59998,299.99,30427,29573
80000,4,39806,2,0.01,40194,39806
100000,4,49733,99995,499.97,50267,49733
2,5,2,0,0.0,0,2
3,5,1,0,0.0,2,1
100,5,48,98,0.49,52,48
200,5,102,1,0.01,98,102
2000,5,994,1999,10.0,1006,994
10000,5,4878,3,0.02,5122,4878
20000,5,10001,19995,99.97,9999,10001
40000,5,20133,1,0.01,19867,20133
60000,5,29712,59999,299.99,30288,29712
80000,5,40087,1,0.01,39913,40087
100000,5,49861,2,0.01,50139,49861
2,6,1,0,0.0,1,1
3,6,2,0,0.0,1,2
100,6,52,99,0.5,48,52
200,6,105,1,0.01,95,105
2000,6,1003,1999,10.0,997,1003
10000,6,5049,9998,49.99,4951,5049
20000,6,10030,19994,99.97,9970,10030
40000,6,20078,4,0.02,19922,20078
60000,6,29962,1,0.01,30038,29962
80000,6,40079,2,0.01,39921,40079
100000,6,49320,99999,499.99,50680,49320
2,7,1,0,0.0,1,1
3,7,2,0,0.0,1,2
100,7,59,50,0.25,41,59
200,7,91,1,0.01,109,91
2000,7,996,2,0.01,1004,996
10000,7,4940,1,0.01,5060,4940
20000,7,10078,1,0.01,9922,10078
40000,7,19941,39999,199.99,20059,19941
60000,7,29699,59999,299.99,30301,29699
80000,7,40135,2,0.01,39865,40135
100000,7,49324,99998,499.99,50676,49324
2,8,1,0,0.0,1,1
3,8,1,0,0.0,2,1
100,8,45,50,0.25,55,45
200,8,102,100,0.5,98,102
2000,8,986,1,0.01,1014,986
10000,8,4965,1,0.01,5035,4965
20000,8,10009,19999,99.99,9991,10009
40000,8,19810,39997,199.98,20190,19810
60000,8,29575,59998,299.99,30425,29575
80000,8,40207,2,0.01,39793,40207
100000,8,49961,2,0.01,50039,49961
2,9,0,0,0.0,2,0
3,9,1,0,0.0,2,1
100,9,43,2,0.01,57,43
200,9,96,2,0.01,104,96
2000,9,1004,1998,9.99,996,1004
10000,9,4983,2,0.01,5017,4983
20000,9,9864,19999,99.99,10136,9864
40000,9,19815,39998,199.99,20185,19815
60000,9,29806,59999,299.99,30194,29806
80000,9,39920,2,0.01,40080,39920
100000,9,49961,2,0.01,50039,49961
2,10,1,0,0.0,1,1
3,10,1,0,0.0,2,1
100,10,44,50,0.25,56,44
200,10,101,1,0.01,99,101
2000,10,971,1,0.01,1029,971
10000,10,4887,1,0.01,5113,4887
20000,10,9874,19998,99.99,10126,9874
40000,10,20015,1,0.01,19985,20015
60000,10,29912,1,0.01,30088,29912
80000,10,40100,5,0.03,39900,40100
100000,10,50039,1,0.01,49961,50039
2,11,0,0,0.0,2,0
3,11,2,0,0.0,1,2
100,11,54,1,0.01,46,54
