Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,1,1,0.01,1,1
3,1,2,1,0.01,1,2
100,1,92,13,0.07,8,92
200,1,176,5,0.03,24,176
2000,1,1793,880,4.4,207,1793
10000,1,8987,2964,14.82,1013,8987
20000,1,17986,7704,38.52,2014,17986
40000,1,36069,8265,41.33,3931,36069
60000,1,53965,10070,50.35,6035,53965
80000,1,71908,9918,49.59,8092,71908
100000,1,89948,29236,146.18,10052,89948
2,2,2,1,0.01,0,2
3,2,2,2,0.01,1,2
100,2,90,57,0.29,10,90
200,2,188,120,0.6,12,188
2000,2,1777,1176,5.88,223,1777
10000,2,9004,4221,21.11,996,9004
20000,2,17983,3351,16.76,2017,17983
40000,2,36085,4965,24.82,3915,36085
60000,2,53950,19470,97.35,6050,53950
80000,2,71885,24170,120.85,8115,71885
100000,2,90009,12339,61.7,9991,90009
2,3,2,1,0.01,0,2
3,3,3,1,0.01,0,3
100,3,91,10,0.05,9,91
200,3,189,99,0.5,11,189
2000,3,1792,996,4.98,208,1792
10000,3,8966,5442,27.21,1034,8966
20000,3,17946,5925,29.62,2054,17946
40000,3,36085,12974,64.87,3915,36085
60000,3,54013,16743,83.71,5987,54013
80000,3,71880,7438,37.19,8120,71880
100000,3,89862,14973,74.87,10138,89862
2,4,2,1,0.01,0,2
3,4,3,1,0.01,0,3
100,4,85,50,0.25,15,85
200,4,181,91,0.46,19,181
2000,4,1793,837,4.18,207,1793
10000,4,8962,5466,27.33,1038,8962
20000,4,17982,4792,23.96,2018,17982
40000,4,35894,12753,63.77,4106,35894
60000,4,53929,9556,47.78,6071,53929
80000,4,71960,17286,86.43,8040,71960
100000,4,89861,31913,159.56,10139,89861
2,5,1,1,0.01,1,1
3,5,3,1,0.01,0,3
100,5,95,46,0.23,5,95
200,5,187,105,0.53,13,187
2000,5,1785,988,4.94,215,1785
10000,5,8963,4643,23.21,1037,8963
20000,5,17993,7050,35.25,2007,17993
