Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
3,16,2,2,0.01,1,2
100,16,48,6,0.03,52,48
200,16,103,76,0.38,97,103
2000,16,985,1469,7.34,1015,985
10000,16,5003,3308,16.54,4997,5003
20000,16,9899,7606,38.03,10101,9899
40000,16,19936,10797,53.99,20064,19936
60000,16,30097,24179,120.89,29903,30097
80000,16,40127,10524,52.62,39873,40127
100000,16,49420,42360,211.8,50580,49420
2,17,1,1,0.01,1,1
3,17,2,2,0.01,1,2
100,17,54,31,0.16,46,54
200,17,93,62,0.31,107,93
2000,17,1029,632,3.16,971,1029
10000,17,4984,4594,22.97,5016,4984
20000,17,9982,5933,29.66,10018,9982
40000,17,19830,6235,31.17,20170,19830
60000,17,30073,8299,41.5,29927,30073
80000,17,39976,13284,66.42,40024,39976
100000,17,49932,6895,34.47,50068,49932
2,18,1,1,0.01,1,1
3,18,1,1,0.01,2,1
100,18,54,77,0.39,46,54
200,18,93,82,0.41,107,93
2000,18,1012,1748,8.74,988,1012
10000,18,4943,1625,8.12,5057,4943
20000,18,9930,7047,35.23,10070,9930
40000,18,20007,3834,19.17,19993,20007
60000,18,30004,17242,86.21,29996,30004
80000,18,39779,42498,212.49,40221,39779
100000,18,49927,25417,127.08,50073,49927
2,19,0,1,0.01,2,0
3,19,2,2,0.01,1,2
100,19,57,95,0.48,43,57
200,19,108,113,0.57,92,108
2000,19,993,582,2.91,1007,993
10000,19,4998,4094,20.47,5002,4998
20000,19,9986,8764,43.82,10014,9986
40000,19,19658,39238,196.19,20342,19658
60000,19,29946,10663,53.32,30054,29946
80000,19,39913,11155,55.78,40087,39913
100000,19,49685,8448,42.24,50315,49685
2,20,0,1,0.01,2,0
3,20,2,2,0.01,1,2
100,20,46,33,0.17,54,46
200,20,99,113,0.57,101,99
2000,20,964,744,3.72,1036,964
10000,20,4975,8175,40.88,5025,4975
20000,20,9871,13129,65.65,10129,9871
40000,20,19860,14383,71.92,20140,19860
60000,20,29969,27000,135.0,30031,29969
80000,20,39890,37365,186.82,40110,39890
100000,20,49406,70548,352.74,50594,49406
2,21,0,1,0.01,2,0
3,21,3,2,0.01,0,3
100,21,41,57,0.29,59,41
200,21,100,25,0.13,100,100
2000,21,985,299,1.49,1015,985
10000,21,4982,3734,18.67,5018,4982
20000,21,10036,4542,22.71,9964,10036
40000,21,19988,12951,64.76,20012,19988
60000,21,29727,20484,102.42,30273,29727
80000,21,39715,18235,91.17,40285,39715
100000,21,49924,9832,49.16,50076,49924
2,22,2,1,0.01,0,2
3,22,1,2,0.01,2,1
100,22,53,94,0.47,47,53
200,22,98,92,0.46,102,98
2000,22,1005,513,2.56,995,1005
10000,22,4945,5596,27.98,5055,4945
20000,22,9921,1493,7.46,10079,9921
40000,22,19948,10716,53.58,20052,19948
60000,22,29952,15200,76.0,30048,29952
80000,22,39957,25539,127.69,40043,39957
100000,22,50021,13609,68.05,49979,50021
2,23,1,1,0.01,1,1
3,23,2,2,0.01,1,2
100,23,49,17,0.09,51,49
200,23,101,37,0.19,99,101
2000,23,1041,1210,6.05,959,1041
10000,23,4903,2627,13.14,5097,4903
20000,23,9913,8218,41.09,10087,9913
40000,23,20123,1822,9.11,19877,20123
60000,23,30021,19761,98.8,29979,30021
80000,23,40007,18662,93.31,39993,40007
100000,23,49992,17453,87.26,50008,49992
2,24,2,1,0.01,0,2
3,24,1,2,0.01,2,1
100,24,49,59,0.3,51,49
200,24,100,50,0.25,100,100
2000,24,993,1615,8.07,1007,993
10000,24,5044,2903,14.52,4956,5044
20000,24,9983,1204,6.02,10017,9983
40000,24,20038,9331,46.66,19962,20038
60000,24,29904,22735,113.67,30096,29904
80000,24,39932,18335,91.67,40068,39932
100000,24,49826,32565,162.82,50174,49826
2,25,2,1,0.01,0,2
3,25,0,2,0.01,3,0
100,25,57,33,0.17,43,57
200,25,95,94,0.47,105,95
2000,25,994,1787,8.93,1006,994
10000,25,5011,2282,11.41,4989,5011
20000,25,9924,16309,81.54,10076,9924
40000,25,19865,4555,22.77,20135,19865
60000,25,29842,15609,78.05,30158,29842
80000,25,39978,4706,23.53,40022,39978
100000,25,49971,20076,100.38,50029,49971
2,26,0,1,0.01,2,0
3,26,2,2,0.01,1,2
100,26,48,57,0.29,52,48
200,26,99,59,0.3,101,99
2000,26,983,903,4.51,1017,983
10000,26,4921,2067,10.34,5079,4921
20000,26,10014,13113,65.57,9986,10014
40000,26,19828,13937,69.69,20172,19828
60000,26,30007,10084,50.42,29993,30007
80000,26,39677,12467,62.34,40323,39677
100000,26,50136,36614,183.07,49864,50136
2,27,0,1,0.01,2,0
3,27,2,2,0.01,1,2
100,27,47,46,0.23,53,47
200,27,104,89,0.45,96,104
2000,27,994,608,3.04,1006,994
10000,27,5055,3978,19.89,4945,5055
20000,27,9958,1157,5.78,10042,9958
40000,27,19753,36742,183.71,20247,19753
60000,27,30082,23656,118.28,29918,30082
80000,27,40133,6028,30.14,39867,40133
100000,27,49825,5327,26.63,50175,49825
2,28,0,1,0.01,2,0
3,28,1,2,0.01,2,1
100,28,48,89,0.45,52,48
200,28,102,73,0.37,98,102
2000,28,1017,1705,8.52,983,1017
10000,28,5057,2268,11.34,4943,5057
20000,28,9878,10316,51.58,10122,9878
40000,28,19964,20054,100.27,20036,19964
60000,28,29575,39564,197.82,30425,29575
80000,28,39981,12392,61.96,40019,39981
100000,28,49871,33954,169.77,50129,49871
