Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,1,0.1,0,2
3,1,2,2,0.2,1,2
100,1,80,38,3.8,20,80
200,1,182,10,1.0,18,182
2000,1,1789,100,10.0,211,1789
10000,1,9016,52,5.2,984,9016
20000,1,17939,155,15.5,2061,17939
40000,1,35985,473,47.3,4015,35985
60000,1,53875,256,25.6,6125,53875
80000,1,72213,76,7.6,7787,72213
100000,1,89895,189,18.9,10105,89895
2,2,2,1,0.1,0,2
3,2,2,1,0.1,1,2
100,2,85,28,2.8,15,85
200,2,176,23,2.3,24,176
2000,2,1784,75,7.5,216,1784
10000,2,8992,142,14.2,1008,8992
20000,2,17975,567,56.7,2025,17975
40000,2,35984,159,15.9,4016,35984
60000,2,53955,101,10.1,6045,53955
80000,2,72016,232,23.2,7984,72016
100000,2,89978,107,10.7,10022,89978
2,3,2,1,0.1,0,2
3,3,3,2,0.2,0,3
100,3,84,36,3.6,16,84
200,3,184,10,1.0,16,184
2000,3,1804,88,8.8,196,1804
10000,3,8980,63,6.3,1020,8980
20000,3,17946,294,29.4,2054,17946
40000,3,35947,219,21.9,4053,35947
60000,3,54038,270,27.0,5962,54038
80000,3,72054,363,36.3,7946,72054
100000,3,90026,112,11.2,9974,90026
2,4,2,1,0.1,0,2
3,4,2,1,0.1,1,2
100,4,89,30,3.0,11,89
200,4,180,40,4.0,20,180
2000,4,1781,95,9.5,219,1781
10000,4,8971,134,13.4,1029,8971
20000,4,17990,188,18.8,2010,17990
40000,4,35956,193,19.3,4044,35956
60000,4,53944,175,17.5,6056,53944
80000,4,71871,224,22.4,8129,71871
100000,4,89994,117,11.7,10006,89994
2,5,2,1,0.1,0,2
3,5,2,1,0.1,1,2
100,5,87,21,2.1,13,87
200,5,178,8,0.8,22,178
2000,5,1800,20,2.0,200,1800
10000,5,9050,211,21.1,950,9050
20000,5,17971,255,25.5,2029,17971
40000,5,35968,58,5.8,4032,35968
60000,5,53840,321,32.1,6160,53840
80000,5,72067,37,3.7,7933,72067
100000,5,89878,225,22.5,10122,89878
2,6,2,1,0.1,0,2
3,6,2,2,0.2,1,2
100,6,93,4,0.4,7,93
200,6,180,61,6.1,20,180
2000,6,1820,77,7.7,180,1820
10000,6,8937,340,34.0,1063,8937
20000,6,17997,182,18.2,2003,17997
40000,6,35907,181,18.1,4093,35907
60000,6,53769,222,22.2,6231,53769
80000,6,71929,299,29.9,8071,71929
100000,6,89997,184,18.4,10003,89997
2,7,2,1,0.1,0,2
3,7,2,1,0.1,1,2
100,7,87,35,3.5,13,87
200,7,178,6,0.6,22,178
2000,7,1833,44,4.4,167,1833
10000,7,8993,197,19.7,1007,8993
20000,7,17959,453,45.3,2041,17959
40000,7,36050,213,21.3,3950,36050
60000,7,53914,468,46.8,6086,53914
80000,7,71993,200,20.0,8007,71993
100000,7,90145,152,15.2,9855,90145
2,8,2,1,0.1,0,2
3,8,2,2,0.2,1,2
100,8,83,38,3.8,17,83
200,8,175,35,3.5,25,175
2000,8,1807,6,0.6,193,1807
10000,8,8975,123,12.3,1025,8975
20000,8,18002,97,9.7,1998,18002
40000,8,35985,259,25.9,4015,35985
60000,8,53920,101,10.1,6080,53920
80000,8,71942,258,25.8,8058,71942
100000,8,89947,163,16.3,10053,89947
2,9,2,1,0.1,0,2
3,9,3,2,0.2,0,3
100,9,84,17,1.7,16,84
200,9,177,15,1.5,23,177
2000,9,1803,74,7.4,197,1803
10000,9,8981,337,33.7,1019,8981
20000,9,17964,551,55.1,2036,17964
40000,9,35952,101,10.1,4048,35952
60000,9,53993,269,26.9,6007,53993
80000,9,71828,363,36.3,8172,71828
100000,9,89755,205,20.5,10245,89755
2,10,2,1,0.1,0,2
3,10,2,2,0.2,1,2
100,10,87,7,0.7,13,87
200,10,177,28,2.8,23,177
2000,10,1778,222,22.2,222,1778
10000,10,9013,165,16.5,987,9013
20000,10,17995,165,16.5,2005,17995
40000,10,35927,178,17.8,4073,35927
60000,10,53805,166,16.6,6195,53805
80000,10,71994,478,47.8,8006,71994
100000,10,90127,437,43.7,9873,90127
2,11,2,1,0.1,0,2
3,11,3,2,0.2,0,3
100,11,73,98,9.8,27,73
200,11,177,22,2.2,23,177
2000,11,1793,111,11.1,207,1793
10000,11,8938,157,15.7,1062,8938
20000,11,17943,274,27.4,2057,17943
40000,11,35943,173,17.3,4057,35943
