Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
40000,15,67921,40000,4000.0,12080,67921
60000,15,101931,60000,6000.0,18070,101931
80000,15,135694,80000,8000.0,24307,135694
100000,15,170142,100000,10000.0,29859,170142
2,16,5,3,0.3,0,5
3,16,7,4,0.4,0,7
100,16,170,100,10.0,31,170
200,16,332,200,20.0,69,332
2000,16,3433,2000,200.0,568,3433
10000,16,16945,10000,1000.0,3056,16945
20000,16,33904,20000,2000.0,6097,33904
40000,16,67896,40000,4000.0,12105,67896
60000,16,102215,60000,6000.0,17786,102215
80000,16,136084,80000,8000.0,23917,136084
100000,16,169884,100000,10000.0,30117,169884
2,17,4,3,0.3,1,4
3,17,7,4,0.4,0,7
100,17,170,100,10.0,31,170
200,17,349,200,20.0,52,349
2000,17,3417,2000,200.0,584,3417
10000,17,16867,10000,1000.0,3134,16867
20000,17,33885,20000,2000.0,6116,33885
40000,17,67948,40000,4000.0,12053,67948
60000,17,101941,60000,6000.0,18060,101941
80000,17,136082,80000,8000.0,23919,136082
100000,17,169816,100000,10000.0,30185,169816
2,18,3,3,0.3,2,3
3,18,5,4,0.4,2,5
100,18,170,100,10.0,31,170
200,18,343,200,20.0,58,343
2000,18,3352,2000,200.0,649,3352
10000,18,17008,10000,1000.0,2993,17008
20000,18,33977,20000,2000.0,6024,33977
40000,18,67952,40000,4000.0,12049,67952
60000,18,102003,60000,6000.0,17998,102003
80000,18,135999,80000,8000.0,24002,135999
100000,18,169903,100000,10000.0,30098,169903
2,19,2,2,0.2,3,2
3,19,6,3,0.3,1,6
100,19,168,100,10.0,33,168
200,19,338,200,20.0,63,338
2000,19,3399,2000,200.0,602,3399
10000,19,16990,10000,1000.0,3011,16990
20000,19,33926,20000,2000.0,6075,33926
40000,19,68205,40000,4000.0,11796,68205
60000,19,102068,60000,6000.0,17933,102068
80000,19,136187,80000,8000.0,23814,136187
100000,19,170221,100000,10000.0,29780,170221
2,20,5,3,0.3,0,5
3,20,6,4,0.4,1,6
100,20,169,100,10.0,32,169
200,20,331,200,20.0,70,331
2000,20,3376,2000,200.0,625,3376
10000,20,16975,10000,1000.0,3026,16975
20000,20,34055,20000,2000.0,5946,34055
40000,20,68033,40000,4000.0,11968,68033
60000,20,102170,60000,6000.0,17831,102170
80000,20,135872,80000,8000.0,24129,135872
100000,20,170159,100000,10000.0,29842,170159
2,21,4,2,0.2,1,4
3,21,5,4,0.4,2,5
100,21,168,100,10.0,33,168
200,21,334,200,20.0,67,334
2000,21,3406,2000,200.0,595,3406
10000,21,17011,10000,1000.0,2990,17011
20000,21,33907,20000,2000.0,6094,33907
40000,21,67994,40000,4000.0,12007,67994
60000,21,102102,60000,6000.0,17899,102102
80000,21,136093,80000,8000.0,23908,136093
100000,21,169841,100000,10000.0,30160,169841
2,22,4,2,0.2,1,4
3,22,5,3,0.3,2,5
100,22,171,100,10.0,30,171
200,22,336,200,20.0,65,336
2000,22,3410,2000,200.0,591,3410
10000,22,16974,10000,1000.0,3027,16974
20000,22,34099,20000,2000.0,5902,34099
40000,22,67998,40000,4000.0,12003,67998
60000,22,102088,60000,6000.0,17913,102088
80000,22,136107,80000,8000.0,23894,136107
100000,22,169949,100000,10000.0,30052,169949
2,23,4,3,0.3,1,4
3,23,7,4,0.4,0,7
100,23,170,100,10.0,31,170
200,23,324,200,20.0,77,324
2000,23,3365,2000,200.0,636,3365
