Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,1,0.1,0,2
3,1,3,1,0.1,0,3
100,1,87,15,1.5,13,87
200,1,176,44,4.4,24,176
2000,1,1746,249,24.9,254,1746
10000,1,8982,81,8.1,1018,8982
20000,1,17985,272,27.2,2015,17985
40000,1,35900,513,51.3,4100,35900
60000,1,53937,223,22.3,6063,53937
80000,1,71972,187,18.7,8028,71972
100000,1,90011,426,42.6,9989,90011
2,2,2,1,0.1,0,2
3,2,2,1,0.1,1,2
100,2,85,40,4.0,15,85
200,2,176,35,3.5,24,176
2000,2,1807,77,7.7,193,1807
10000,2,9008,371,37.1,992,9008
20000,2,17966,242,24.2,2034,17966
40000,2,35995,522,52.2,4005,35995
60000,2,53951,217,21.7,6049,53951
80000,2,71959,201,20.1,8041,71959
100000,2,90048,528,52.8,9952,90048
2,3,2,1,0.1,0,2
3,3,3,1,0.1,0,3
100,3,89,27,2.7,11,89
200,3,179,41,4.1,21,179
2000,3,1792,55,5.5,208,1792
10000,3,8943,13,1.3,1057,8943
20000,3,17930,273,27.3,2070,17930
40000,3,35880,670,67.0,4120,35880
60000,3,53827,323,32.3,6173,53827
80000,3,72048,244,24.4,7952,72048
100000,3,90096,260,26.0,9904,90096
2,4,1,1,0.1,1,1
3,4,2,1,0.1,1,2
100,4,84,15,1.5,16,84
200,4,179,46,4.6,21,179
2000,4,1809,132,13.2,191,1809
10000,4,8950,120,12.0,1050,8950
20000,4,17930,520,52.0,2070,17930
40000,4,35966,220,22.0,4034,35966
60000,4,53943,495,49.5,6057,53943
80000,4,71905,313,31.3,8095,71905
100000,4,90016,366,36.6,9984,90016
2,5,2,1,0.1,0,2
3,5,3,1,0.1,0,3
100,5,88,22,2.2,12,88
200,5,170,69,6.9,30,170
2000,5,1799,231,23.1,201,1799
10000,5,8988,82,8.2,1012,8988
20000,5,17914,238,23.8,2086,17914
40000,5,35978,277,27.7,4022,35978
60000,5,54072,253,25.3,5928,54072
80000,5,72053,223,22.3,7947,72053
100000,5,89844,183,18.3,10156,89844
2,6,2,1,0.1,0,2
3,6,3,1,0.1,0,3
100,6,90,26,2.6,10,90
200,6,179,80,8.0,21,179
2000,6,1798,55,5.5,202,1798
10000,6,8983,207,20.7,1017,8983
