Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,16,1,1,0.01,1,1
3,16,2,2,0.01,1,2
100,16,86,52,0.26,14,86
200,16,169,103,0.52,31,169
2000,16,1771,911,4.55,229,1771
10000,16,8981,4280,21.4,1019,8981
20000,16,17975,6622,33.11,2025,17975
40000,16,35944,13023,65.12,4056,35944
60000,16,53874,19195,95.97,6126,53874
80000,16,71864,30938,154.69,8136,71864
100000,16,90025,17263,86.31,9975,90025
2,17,2,1,0.01,0,2
3,17,3,1,0.01,0,3
100,17,89,51,0.26,11,89
200,17,183,98,0.49,17,183
2000,17,1799,894,4.47,201,1799
10000,17,8959,1623,8.11,1041,8959
20000,17,17962,5651,28.25,2038,17962
40000,17,35964,14758,73.79,4036,35964
60000,17,53958,20168,100.84,6042,53958
80000,17,71821,19968,99.84,8179,71821
100000,17,89881,28959,144.79,10119,89881
2,18,2,1,0.01,0,2
3,18,3,1,0.01,0,3
100,18,94,51,0.26,6,94
200,18,184,91,0.46,16,184
2000,18,1806,921,4.6,194,1806
10000,18,8958,4026,20.13,1042,8958
20000,18,18007,8623,43.12,1993,18007
40000,18,35936,10202,51.01,4064,35936
60000,18,54031,12783,63.92,5969,54031
80000,18,71923,21867,109.33,8077,71923
100000,18,89740,24566,122.83,10260,89740
2,19,1,1,0.01,1,1
3,19,2,1,0.01,1,2
100,19,94,49,0.25,6,94
200,19,179,106,0.53,21,179
2000,19,1804,937,4.68,196,1804
10000,19,8974,3691,18.46,1026,8974
20000,19,17929,6510,32.55,2071,17929
40000,19,35830,10670,53.35,4170,35830
60000,19,53941,23922,119.61,6059,53941
80000,19,71846,15592,77.96,8154,71846
100000,19,90000,24433,122.16,10000,90000
2,20,1,1,0.01,1,1
3,20,3,1,0.01,0,3
100,20,88,50,0.25,12,88
200,20,180,95,0.48,20,180
2000,20,1789,847,4.23,211,1789
10000,20,8999,5067,25.33,1001,8999
20000,20,17922,11338,56.69,2078,17922
40000,20,35978,11016,55.08,4022,35978
60000,20,53917,15130,75.65,6083,53917
80000,20,71799,14858,74.29,8201,71799
100000,20,89817,27808,139.04,10183,89817
2,21,2,1,0.01,0,2
3,21,3,1,0.01,0,3
100,21,89,52,0.26,11,89
200,21,182,97,0.49,18,182
2000,21,1804,1049,5.24,196,1804
10000,21,8957,5563,27.81,1043,8957
20000,21,18035,6330,31.65,1965,18035
40000,21,35890,14031,70.16,4110,35890
60000,21,53929,22687,113.43,6071,53929
80000,21,71926,32042,160.21,8074,71926
100000,21,89847,38508,192.54,10153,89847
2,22,2,1,0.01,0,2
3,22,2,1,0.01,1,2
100,22,90,51,0.26,10,90
200,22,185,96,0.48,15,185
2000,22,1795,694,3.47,205,1795
10000,22,8984,3081,15.41,1016,8984
20000,22,17908,4817,24.08,2092,17908
40000,22,35905,11482,57.41,4095,35905
60000,22,53917,23001,115.0,6083,53917
80000,22,71911,23067,115.33,8089,71911
100000,22,89925,29095,145.47,10075,89925
2,23,2,1,0.01,0,2
3,23,3,1,0.01,0,3
100,23,90,50,0.25,10,90
200,23,183,105,0.53,17,183
2000,23,1791,1040,5.2,209,1791
10000,23,8943,4701,23.5,1057,8943
20000,23,17946,7606,38.03,2054,17946
40000,23,35964,14063,70.32,4036,35964
60000,23,54030,5261,26.3,5970,54030
80000,23,72066,16968,84.84,7934,72066
100000,23,90029,20961,104.8,9971,90029
2,24,2,1,0.01,0,2
3,24,2,1,0.01,1,2
100,24,89,48,0.24,11,89
200,24,169,91,0.46,31,169
2000,24,1797,946,4.73,203,1797
10000,24,8949,5649,28.24,1051,8949
20000,24,17958,8630,43.15,2042,17958
40000,24,35939,17643,88.21,4061,35939
60000,24,53945,21128,105.64,6055,53945
80000,24,71979,15256,76.28,8021,71979
100000,24,89914,39110,195.55,10086,89914
2,25,2,1,0.01,0,2
3,25,3,1,0.01,0,3
100,25,89,52,0.26,11,89
200,25,187,96,0.48,13,187
2000,25,1805,977,4.88,195,1805
10000,25,8992,3869,19.35,1008,8992
20000,25,17959,9687,48.44,2041,17959
40000,25,35889,14660,73.3,4111,35889
60000,25,53936,13517,67.59,6064,53936
80000,25,71994,23397,116.98,8006,71994
100000,25,89797,35928,179.64,10203,89797
2,26,2,1,0.01,0,2
3,26,3,1,0.01,0,3
100,26,87,49,0.25,13,87
200,26,178,104,0.52,22,178
2000,26,1812,835,4.17,188,1812
10000,26,8997,4221,21.11,1003,8997
20000,26,18005,5307,26.53,1995,18005
40000,26,35904,15439,77.2,4096,35904
60000,26,53903,13218,66.09,6097,53903
80000,26,72020,17620,88.1,7980,72020
100000,26,90121,15320,76.6,9879,90121
2,27,2,1,0.01,0,2
3,27,3,1,0.01,0,3
100,27,92,49,0.25,8,92
200,27,181,98,0.49,19,181
2000,27,1785,1104,5.52,215,1785
10000,27,8933,4748,23.74,1067,8933
20000,27,17985,8737,43.69,2015,17985
40000,27,35924,15901,79.51,4076,35924
60000,27,53705,36856,184.28,6295,53705
80000,27,71918,23793,118.96,8082,71918
100000,27,89933,21962,109.81,10067,89933
2,28,2,1,0.01,0,2
