Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
40000,15,32025,40000,4000.0,7975,32025
60000,15,48062,60000,6000.0,11938,48062
80000,15,64105,80000,8000.0,15895,64105
100000,15,80075,100000,10000.0,19925,80075
2,16,1,2,0.2,1,1
3,16,2,3,0.3,1,2
100,16,82,100,10.0,18,82
200,16,155,200,20.0,45,155
2000,16,1594,2000,200.0,406,1594
10000,16,7996,10000,1000.0,2004,7996
20000,16,16122,20000,2000.0,3878,16122
40000,16,31930,40000,4000.0,8070,31930
60000,16,48065,60000,6000.0,11935,48065
80000,16,64258,80000,8000.0,15742,64258
100000,16,79980,100000,10000.0,20020,79980
2,17,1,2,0.2,1,1
3,17,3,3,0.3,0,3
100,17,81,100,10.0,19,81
200,17,162,200,20.0,38,162
2000,17,1584,2000,200.0,416,1584
10000,17,7993,10000,1000.0,2007,7993
20000,17,16022,20000,2000.0,3978,16022
40000,17,31939,40000,4000.0,8061,31939
60000,17,48025,60000,6000.0,11975,48025
80000,17,63989,80000,8000.0,16011,63989
100000,17,80044,100000,10000.0,19956,80044
2,18,2,2,0.2,0,2
3,18,3,3,0.3,0,3
100,18,69,100,10.0,31,69
200,18,159,200,20.0,41,159
2000,18,1598,2000,200.0,402,1598
10000,18,8028,10000,1000.0,1972,8028
20000,18,16018,20000,2000.0,3982,16018
40000,18,31954,40000,4000.0,8046,31954
60000,18,47987,60000,6000.0,12013,47987
80000,18,64000,80000,8000.0,16000,64000
100000,18,80013,100000,10000.0,19987,80013
2,19,2,2,0.2,0,2
3,19,3,3,0.3,0,3
100,19,75,100,10.0,25,75
200,19,162,200,20.0,38,162
2000,19,1605,2000,200.0,395,1605
10000,19,8070,10000,1000.0,1930,8070
20000,19,16121,20000,2000.0,3879,16121
40000,19,31971,40000,4000.0,8029,31971
60000,19,48202,60000,6000.0,11798,48202
80000,19,64045,80000,8000.0,15955,64045
100000,19,79909,100000,10000.0,20091,79909
2,20,2,2,0.2,0,2
3,20,2,3,0.3,1,2
100,20,84,100,10.0,16,84
200,20,171,200,20.0,29,171
2000,20,1589,2000,200.0,411,1589
10000,20,7918,10000,1000.0,2082,7918
20000,20,16095,20000,2000.0,3905,16095
40000,20,31977,40000,4000.0,8023,31977
60000,20,48198,60000,6000.0,11802,48198
80000,20,64073,80000,8000.0,15927,64073
100000,20,79799,100000,10000.0,20201,79799
2,21,1,2,0.2,1,1
3,21,3,3,0.3,0,3
100,21,87,100,10.0,13,87
200,21,166,200,20.0,34,166
2000,21,1583,2000,200.0,417,1583
10000,21,7915,10000,1000.0,2085,7915
20000,21,16028,20000,2000.0,3972,16028
40000,21,32002,40000,4000.0,7998,32002
60000,21,47938,60000,6000.0,12062,47938
80000,21,64024,80000,8000.0,15976,64024
100000,21,79921,100000,10000.0,20079,79921
2,22,2,2,0.2,0,2
3,22,3,3,0.3,0,3
100,22,78,100,10.0,22,78
200,22,163,200,20.0,37,163
2000,22,1600,2000,200.0,400,1600
10000,22,8022,10000,1000.0,1978,8022
20000,22,15993,20000,2000.0,4007,15993
40000,22,31950,40000,4000.0,8050,31950
60000,22,47979,60000,6000.0,12021,47979
80000,22,63739,80000,8000.0,16261,63739
100000,22,79961,100000,10000.0,20039,79961
2,23,1,2,0.2,1,1
3,23,2,3,0.3,1,2
100,23,83,100,10.0,17,83
200,23,156,200,20.0,44,156
2000,23,1581,2000,200.0,419,1581
10000,23,8019,10000,1000.0,1981,8019
20000,23,15988,20000,2000.0,4012,15988
40000,23,31865,40000,4000.0,8135,31865
60000,23,48162,60000,6000.0,11838,48162
80000,23,63942,80000,8000.0,16058,63942
100000,23,80092,100000,10000.0,19908,80092
2,24,1,2,0.2,1,1
3,24,2,3,0.3,1,2
100,24,78,100,10.0,22,78
200,24,159,200,20.0,41,159
2000,24,1599,2000,200.0,401,1599
10000,24,8074,10000,1000.0,1926,8074
20000,24,15987,20000,2000.0,4013,15987
40000,24,32134,40000,4000.0,7866,32134
60000,24,48036,60000,6000.0,11964,48036
80000,24,63995,80000,8000.0,16005,63995
100000,24,80198,100000,10000.0,19802,80198
2,25,2,2,0.2,0,2
3,25,3,3,0.3,0,3
100,25,80,100,10.0,20,80
200,25,155,200,20.0,45,155
2000,25,1590,2000,200.0,410,1590
10000,25,8036,10000,1000.0,1964,8036
