Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count,Pulls complete
2,0.99,1.92,0.0,1.01,0.99
3,1.48,2.9,0.0,1.52,1.48
100,49.89,76.63,0.391,50.11,49.89
200,98.36,142.74,0.725,101.64,98.36
2000,994.42,1203.91,6.025,1005.58,994.42
10000,4968.42,5482.12,27.410999999999994,5031.58,4968.42
20000,9955.93,8387.29,41.93500000000001,10044.07,9955.93
40000,19928.78,16704.64,83.522,20071.22,19928.78
60000,29887.72,24767.04,123.83500000000002,30112.28,29887.72
80000,39838.66,32032.82,160.171,40161.34,39838.66
100000,49790.77,46771.21,233.85299999999984,50209.23,49790.77
