Timestep,Iteration,Total Reward,Suboptimal Arms,Regret,Zeros Count,Ones Count
2,1,2,0,0.0,0.0,2.0
3,1,2,0,0.0,1.0,2.0
100,1,89,46,4.6,11.0,89.0
200,1,179,10,1.0,21.0,179.0
2000,1,1804,105,10.5,196.0,1804.0
10000,1,8995,511,51.1,1005.0,8995.0
20000,1,17820,1214,121.4,2180.0,17820.0
40000,1,35796,1999,199.9,4204.0,35796.0
60000,1,53743,3025,302.5,6257.0,53743.0
80000,1,71521,4070,407.0,8479.0,71521.0
100000,1,89542,5048,504.8,10458.0,89542.0
2,2,2,0,0.0,0.0,2.0
3,2,2,0,0.0,1.0,2.0
100,2,87,10,1.0,13.0,87.0
200,2,184,50,5.0,16.0,184.0
2000,2,1793,125,12.5,207.0,1793.0
10000,2,8981,514,51.4,1019.0,8981.0
20000,2,17901,1074,107.4,2099.0,17901.0
40000,2,35950,2055,205.5,4050.0,35950.0
60000,2,53781,2934,293.4,6219.0,53781.0
80000,2,71552,3959,395.9,8448.0,71552.0
100000,2,89507,4992,499.2,10493.0,89507.0
2,3,2,0,0.0,0.0,2.0
3,3,3,0,0.0,0.0,3.0
100,3,88,17,1.7,12.0,88.0
200,3,183,18,1.8,17.0,183.0
2000,3,1790,86,8.6,210.0,1790.0
10000,3,9009,514,51.4,991.0,9009.0
20000,3,17851,1016,101.6,2149.0,17851.0
40000,3,35852,1928,192.8,4148.0,35852.0
60000,3,53704,3074,307.4,6296.0,53704.0
80000,3,71597,4521,452.1,8403.0,71597.0
100000,3,89561,4946,494.6,10439.0,89561.0
2,4,1,0,0.0,1.0,1.0
3,4,3,1,0.1,0.0,3.0
100,4,88,7,0.7,12.0,88.0
200,4,182,17,1.7,18.0,182.0
2000,4,1785,104,10.4,215.0,1785.0
10000,4,8967,469,46.9,1033.0,8967.0
20000,4,17891,1011,101.1,2109.0,17891.0
40000,4,35862,1946,194.6,4138.0,35862.0
60000,4,53596,3021,302.1,6404.0,53596.0
80000,4,71665,3986,398.6,8335.0,71665.0
100000,4,89551,4931,493.1,10449.0,89551.0
2,5,2,0,0.0,0.0,2.0
3,5,3,0,0.0,0.0,3.0
100,5,80,92,9.2,20.0,80.0
200,5,184,15,1.5,16.0,184.0
2000,5,1794,111,11.1,206.0,1794.0
10000,5,8877,550,55.0,1123.0,8877.0
20000,5,17922,947,94.7,2078.0,17922.0
40000,5,35723,1992,199.2,4277.0,35723.0
60000,5,53619,2974,297.4,6381.0,53619.0
80000,5,71655,4011,401.1,8345.0,71655.0
100000,5,89466,5011,501.1,10534.0,89466.0
2,6,2,0,0.0,0.0,2.0
3,6,3,0,0.0,0.0,3.0
100,6,87,6,0.6,13.0,87.0
200,6,171,9,0.9,29.0,171.0
2000,6,1792,131,13.1,208.0,1792.0
10000,6,8918,500,50.0,1082.0,8918.0
20000,6,17874,999,99.9,2126.0,17874.0
40000,6,35800,2045,204.5,4200.0,35800.0
60000,6,53585,3076,307.6,6415.0,53585.0
80000,6,71551,3968,396.8,8449.0,71551.0
100000,6,89514,4913,491.3,10486.0,89514.0
2,7,2,0,0.0,0.0,2.0
3,7,3,0,0.0,0.0,3.0
100,7,87,4,0.4,13.0,87.0
200,7,181,13,1.3,19.0,181.0
2000,7,1776,215,21.5,224.0,1776.0
10000,7,8956,474,47.4,1044.0,8956.0
20000,7,17933,1004,100.4,2067.0,17933.0
40000,7,35718,2152,215.2,4282.0,35718.0
60000,7,53860,3040,304.0,6140.0,53860.0
80000,7,71430,4053,405.3,8570.0,71430.0
100000,7,89556,4971,497.1,10444.0,89556.0
2,8,2,0,0.0,0.0,2.0
3,8,3,0,0.0,0.0,3.0
100,8,93,8,0.8,7.0,93.0
200,8,177,38,3.8,23.0,177.0
2000,8,1768,192,19.2,232.0,1768.0
10000,8,8927,521,52.1,1073.0,8927.0
20000,8,17925,1071,107.1,2075.0,17925.0
40000,8,35661,2050,205.0,4339.0,35661.0
60000,8,53777,3070,307.0,6223.0,53777.0
80000,8,71518,3952,395.2,8482.0,71518.0
100000,8,89527,5028,502.8,10473.0,89527.0
2,9,2,0,0.0,0.0,2.0
3,9,2,0,0.0,1.0,2.0
100,9,90,5,0.5,10.0,90.0
200,9,180,27,2.7,20.0,180.0
2000,9,1787,105,10.5,213.0,1787.0
10000,9,8945,506,50.6,1055.0,8945.0
20000,9,17827,939,93.9,2173.0,17827.0
40000,9,35832,1980,198.0,4168.0,35832.0
60000,9,53627,3202,320.2,6373.0,53627.0
80000,9,71656,3900,390.0,8344.0,71656.0
100000,9,89694,4995,499.5,10306.0,89694.0
2,10,2,0,0.0,0.0,2.0
3,10,3,0,0.0,0.0,3.0
100,10,85,3,0.3,15.0,85.0
200,10,174,7,0.7,26.0,174.0
2000,10,1795,101,10.1,205.0,1795.0
10000,10,8924,751,75.1,1076.0,8924.0
20000,10,17900,1056,105.6,2100.0,17900.0
40000,10,35821,2048,204.8,4179.0,35821.0
60000,10,53713,3023,302.3,6287.0,53713.0
80000,10,71519,3991,399.1,8481.0,71519.0
100000,10,89491,5009,500.9,10509.0,89491.0
2,11,2,0,0.0,0.0,2.0
3,11,3,0,0.0,0.0,3.0
100,11,90,97,9.7,10.0,90.0
200,11,181,25,2.5,19.0,181.0
2000,11,1812,106,10.6,188.0,1812.0
10000,11,8938,595,59.5,1062.0,8938.0
20000,11,17922,996,99.6,2078.0,17922.0
40000,11,35855,2013,201.3,4145.0,35855.0
60000,11,53746,3030,303.0,6254.0,53746.0
80000,11,71515,4052,405.2,8485.0,71515.0
100000,11,89293,4985,498.5,10707.0,89293.0
2,12,2,0,0.0,0.0,2.0
3,12,3,0,0.0,0.0,3.0
100,12,88,5,0.5,12.0,88.0
200,12,174,25,2.5,26.0,174.0
