Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count,pulls complete
2,31,2,0,0.0,0,2,2.0
3,31,3,0,0.0,0,3,3.0
100,31,87,50,5.0,13,87,100.0
200,31,182,1,0.1,18,182,200.0
2000,31,1574,1999,199.9,426,1574,2000.0
2,32,2,0,0.0,0,2,2.0
3,32,3,0,0.0,0,3,3.0
100,32,83,50,5.0,17,83,100.0
200,32,184,1,0.1,16,184,200.0
2000,32,1800,4,0.4,200,1800,2000.0
2,33,2,0,0.0,0,2,2.0
3,33,3,0,0.0,0,3,3.0
100,33,73,99,9.9,27,73,100.0
200,33,172,100,10.0,28,172,200.0
2000,33,1709,1000,100.0,291,1709,2000.0
2,34,2,0,0.0,0,2,2.0
3,34,3,0,0.0,0,3,3.0
100,34,90,2,0.2,10,90,100.0
200,34,165,197,19.7,35,165,200.0
2000,34,1669,1000,100.0,331,1669,2000.0
2,35,2,0,0.0,0,2,2.0
3,35,3,0,0.0,0,3,3.0
100,35,90,1,0.1,10,90,100.0
200,35,179,1,0.1,21,179,200.0
2000,35,1798,1,0.1,202,1798,2000.0
2,36,1,0,0.0,1,1,2.0
3,36,2,0,0.0,1,2,3.0
100,36,85,50,5.0,15,85,100.0
200,36,185,1,0.1,15,185,200.0
2000,36,1830,1,0.1,170,1830,2000.0
2,37,2,0,0.0,0,2,2.0
3,37,3,0,0.0,0,3,3.0
100,37,81,50,5.0,19,81,100.0
200,37,167,100,10.0,33,167,200.0
2000,37,1701,1000,100.0,299,1701,2000.0
2,38,2,0,0.0,0,2,2.0
3,38,3,0,0.0,0,3,3.0
100,38,86,50,5.0,14,86,100.0
200,38,157,198,19.8,43,157,200.0
2000,38,1821,3,0.3,179,1821,2000.0
2,39,2,0,0.0,0,2,2.0
3,39,2,0,0.0,1,2,3.0
100,39,93,1,0.1,7,93,100.0
200,39,157,198,19.8,43,157,200.0
2000,39,1693,1000,100.0,307,1693,2000.0
2,40,2,0,0.0,0,2,2.0
3,40,3,0,0.0,0,3,3.0
100,40,91,98,9.8,9,91,100.0
200,40,177,100,10.0,23,177,200.0
2000,40,1806,4,0.4,194,1806,2000.0
