Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,1,2,1,0.1,0.0,2.0
3,1,3,1,0.1,0.0,3.0
100,1,88,1,0.1,12.0,88.0
200,1,181,1,0.1,19.0,181.0
2000,1,1799,1,0.1,201.0,1799.0
10000,1,8921,1,0.1,1079.0,8921.0
20000,1,17961,1,0.1,2039.0,17961.0
40000,1,36001,1,0.1,3999.0,36001.0
60000,1,53989,1,0.1,6011.0,53989.0
80000,1,72071,1,0.1,7929.0,72071.0
100000,1,90108,1,0.1,9892.0,90108.0
2,2,2,1,0.1,0.0,2.0
3,2,3,1,0.1,0.0,3.0
100,2,93,1,0.1,7.0,93.0
200,2,176,1,0.1,24.0,176.0
2000,2,1800,1,0.1,200.0,1800.0
10000,2,9026,1,0.1,974.0,9026.0
20000,2,18019,1,0.1,1981.0,18019.0
40000,2,36002,1,0.1,3998.0,36002.0
60000,2,53912,1,0.1,6088.0,53912.0
80000,2,72058,1,0.1,7942.0,72058.0
100000,2,89858,1,0.1,10142.0,89858.0
2,3,2,1,0.1,0.0,2.0
3,3,2,1,0.1,1.0,2.0
100,3,90,1,0.1,10.0,90.0
200,3,178,1,0.1,22.0,178.0
2000,3,1790,1,0.1,210.0,1790.0
10000,3,8983,1,0.1,1017.0,8983.0
20000,3,18053,1,0.1,1947.0,18053.0
40000,3,36073,1,0.1,3927.0,36073.0
60000,3,54068,1,0.1,5932.0,54068.0
80000,3,71976,1,0.1,8024.0,71976.0
100000,3,90058,1,0.1,9942.0,90058.0
2,4,2,1,0.1,0.0,2.0
3,4,2,1,0.1,1.0,2.0
100,4,88,1,0.1,12.0,88.0
200,4,180,1,0.1,20.0,180.0
2000,4,1800,1,0.1,200.0,1800.0
10000,4,8979,1,0.1,1021.0,8979.0
20000,4,18024,1,0.1,1976.0,18024.0
40000,4,36024,1,0.1,3976.0,36024.0
60000,4,53983,1,0.1,6017.0,53983.0
80000,4,72057,1,0.1,7943.0,72057.0
100000,4,90137,1,0.1,9863.0,90137.0
2,5,2,1,0.1,0.0,2.0
3,5,3,1,0.1,0.0,3.0
100,5,91,1,0.1,9.0,91.0
200,5,178,1,0.1,22.0,178.0
2000,5,1797,1,0.1,203.0,1797.0
